"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Kingdom","Phylum","Class","Order","Family","Genus","REC"
"5181cfd3246d68571628a84f6d7774d8",15.5074941072489,-5.78612870632207,1.50761796326387,-3.44992321154147,0.000560746030796064,0.000981305553893111,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter","Acinetobacter"
"f8fbeaf253aafeee895ae08c53b99df6",1029.20275363708,1.72023512582801,0.228491883623542,4.96854683458824,6.74565088288626e-07,1.88878224720815e-06,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Escherichia","Escherichia"
"ef53c96349a804410165ad1870cfc6b2",1635.0267342367,1.96560126919173,0.290894335904647,4.74618649475231,2.07287603344638e-06,4.83671074470821e-06,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas"
"623654a68a8b850c15dfe14ea0305eef",20.9908315181821,-4.89119267722382,1.42074121692881,-3.030974342964,0.00243765960761555,0.00379191494517975,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Tepidimonas","Tepidimonas"
"463c90535e77331640c6e3bcc51dd305",7.72018879020617,-5.1679560221879,1.77409742274231,-2.58328176497916,0.00978653604175287,0.013701150458454,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Acidovorax","Acidovorax"
"eb08e14b5a660f4e7869d54501c0db20",944.562581362384,-0.979767453367569,0.221212650096122,-1.78473045042795,0.0743050492719482,0.0945700627097523,"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium","Clostridium"
"b39d1b83c8d53619f16d68b941b8c0fe",3079.18884997111,4.98522052880909,0.226154304021306,19.4568838613541,2.54814700945719e-84,1.78370290662003e-83,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Lactococcus","Lactococcus"
"4669f785716df43aa86c9a990e619eb1",1887.9747695395,4.34396108391153,0.203801332192806,18.4444259649597,5.78096565563271e-76,2.6977839726286e-75,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus"
"c9bf5c74d65804a3c12ee5f33a35ce53",1456.67763610073,5.57704512781932,0.192739255871711,25.900705097777,6.5390035930911e-148,9.15460503032754e-147,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus"
"19bfaf559b3233830b1b54792a67e83a",12.6867732631527,-5.05805213807986,1.27410949666995,-3.51075763036828,0.000446831593696404,0.000893663187392809,"Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","","Bacillaceae"
"37ced62c7d3d02789744b29b973c6495",3314.73364359343,-1.59034935177924,0.180680154228231,-5.56445645816808,2.6297077768014e-08,9.20397721880489e-08,"Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","Bacillus"
