"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Kingdom","Phylum","Class","Order","Family","Genus","REC"
"676fa4bbf99f0b193108f9d8fb92f833",6.20969496593216,-3.20900295658863,1.51117422230552,-1.73642483913212,0.0824887434312275,0.097571957460183,"Bacteria","Tenericutes","Mollicutes","Mycoplasmatales","Mycoplasmataceae","Mycoplasma","Mycoplasma"
"9eeb37ab369d9f263c08e59d48c20920",101.212023306902,-7.27988774478052,1.22480925507131,-5.46609622383165,4.60054665273382e-08,2.30027332636691e-07,"Bacteria","Fusobacteria","Fusobacteriia","Fusobacteriales","Fusobacteriaceae","Fusobacterium","Fusobacterium"
"ba6b8677a024bd6fb6f0f28f24794664",12.655385027023,-4.21064953910395,1.30072602550558,-2.78743330054732,0.00531273896803717,0.00885456494672862,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Porphyromonas","Porphyromonas"
"345ee90c0d9bb3028b641ea58a2a5f73",60.565606978563,-6.45618117924538,1.21697962080586,-4.82441823852106,1.40412501040227e-06,5.61650004160909e-06,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides"
"5181cfd3246d68571628a84f6d7774d8",12.6242466153104,-3.60688643017331,1.41896287105657,-2.12967089632304,0.0331987933825702,0.0442650578434269,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter","Acinetobacter"
"f8fbeaf253aafeee895ae08c53b99df6",1089.65017714107,1.1230524633387,0.194919248174017,2.76057889437969,0.00576990200553504,0.00887677231620775,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Escherichia","Escherichia"
"ef53c96349a804410165ad1870cfc6b2",577.400057624889,3.75929394249209,0.172970539408602,18.3518618408903,3.189919235806e-75,6.37983847161199e-74,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas"
"623654a68a8b850c15dfe14ea0305eef",8.54187068682883,-4.64971760519094,1.35308532920835,-3.00406413160059,0.00266399164609913,0.00484362117472569,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Tepidimonas","Tepidimonas"
"bc44915a0352691cc51940bd90fc8321",112.082565235146,1.54731708990584,0.29434354311564,3.26949447913184,0.0010773983977525,0.002154796795505,"Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Corynebacteriaceae","Corynebacterium","Corynebacterium"
"06c9d593ff06ac4631b576f9678dbe70",10.8265863620878,-3.8426656342512,1.44965847244018,-2.24722111825858,0.0246258991847797,0.0351798559782567,"Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Actinomycetaceae","Trueperella","Trueperella"
"eb08e14b5a660f4e7869d54501c0db20",1178.2444670066,0.943911929171412,0.207018755617391,1.73389810686362,0.0829361638411555,0.097571957460183,"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium","Clostridium"
"9a51009b55aca2f468f71e938eccd22e",52.0330737668436,-6.39110386089438,1.22235069728163,-4.74997999599085,2.03436771531718e-06,6.78122571772395e-06,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Lactobacillus"
"b39d1b83c8d53619f16d68b941b8c0fe",4409.52043807781,-2.30112163205575,0.30106165233471,-5.70035777730543,1.1955624156276e-08,7.970416104184e-08,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Lactococcus","Lactococcus"
"4669f785716df43aa86c9a990e619eb1",4772.9045720613,-1.94557182683915,0.22861102856709,-5.95163468117067,2.65477426357093e-09,2.65477426357093e-08,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus"
"333a40af36286f867e8e903e420016d4",2541.99693838294,-1.34870943386259,0.190365646682461,-4.01199978279377,6.02065555091098e-05,0.000172018730026028,"Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus"
"19bfaf559b3233830b1b54792a67e83a",37.174199718486,-5.20219768280931,1.24360897454251,-3.71277087622071,0.000205002463613956,0.000512506159034889,"Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","","Bacillaceae"
"71cc69f84c94166e9c053211237a4f1b",14.4282536756113,-5.20715848970691,1.27827224590033,-3.61597148323454,0.000299223317247907,0.000664940704995349,"Bacteria","Firmicutes","Clostridia","Clostridiales","[Tissierellaceae]","Peptoniphilus","Peptoniphilus"
