"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Kingdom","Phylum","Class","Order","Family","Genus","REC"
"676fa4bbf99f0b193108f9d8fb92f833",6.20969496593216,-4.51623695070375,1.47600834585011,-2.66345001438211,0.00773439019141263,0.014985380995862,"Bacteria","Tenericutes","Mollicutes","Mycoplasmatales","Mycoplasmataceae","Mycoplasma","Mycoplasma"
"9eeb37ab369d9f263c08e59d48c20920",101.212023306902,-8.18752933362421,1.22233809050913,-6.2196923191164,4.98130717750447e-10,2.20600746432341e-09,"Bacteria","Fusobacteria","Fusobacteriia","Fusobacteriales","Fusobacteriaceae","Fusobacterium","Fusobacterium"
"ba6b8677a024bd6fb6f0f28f24794664",12.655385027023,-5.12916151794049,1.28104609134846,-3.54725645541451,0.000389265468767879,0.000928248425523403,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Porphyromonas","Porphyromonas"
"345ee90c0d9bb3028b641ea58a2a5f73",60.565606978563,-7.51813462214101,1.21251195799301,-5.7180237074906,1.07770109716079e-08,4.17609175149807e-08,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides"
"8602dda9514781228aaa7bcf0ca97b0b",4.0285369931594,-4.43415154420865,1.86402416662113,-2.06498880884405,0.038924059195256,0.0670358797251631,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","5-7N15","5-7N15"
"5181cfd3246d68571628a84f6d7774d8",12.6242466153104,-5.33972320974767,1.38983849841555,-3.4210886476717,0.000623709986174112,0.00138107211224268,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter","Acinetobacter"
"f8fbeaf253aafeee895ae08c53b99df6",1089.65017714107,4.14938027641935,0.196572362380424,18.1328531261176,1.75416898558127e-73,1.81264128510064e-72,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Escherichia","Escherichia"
"ef53c96349a804410165ad1870cfc6b2",577.400057624889,4.82285655417624,0.16447292066101,25.7665154629903,2.10517012393606e-146,3.26301369210089e-145,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas"
"bc44915a0352691cc51940bd90fc8321",112.082565235146,5.05795179244324,0.315588909904819,14.1734679240507,1.3372993044259e-45,8.29125568744059e-45,"Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Corynebacteriaceae","Corynebacterium","Corynebacterium"
"06c9d593ff06ac4631b576f9678dbe70",10.8265863620878,-4.51156459019651,1.42746131986418,-2.75075901170406,0.00594573662734633,0.0122878556965157,"Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Actinomycetaceae","Trueperella","Trueperella"
"eb08e14b5a660f4e7869d54501c0db20",1178.2444670066,1.46919075604725,0.205827320354849,4.29597127243202,1.73930107475252e-05,4.90166666521166e-05,"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium","Clostridium"
"9a51009b55aca2f468f71e938eccd22e",52.0330737668436,-7.22898680546822,1.21779360605335,-5.45578846178964,4.87560095919517e-08,1.67937366372278e-07,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Lactobacillus"
"b39d1b83c8d53619f16d68b941b8c0fe",4409.52043807781,1.84874244975955,0.301510502786998,4.1914956107887,2.77121550423687e-05,7.15897338594524e-05,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Lactococcus","Lactococcus"
"4669f785716df43aa86c9a990e619eb1",4772.9045720613,4.13235141551557,0.231283988288103,15.3378058768839,4.27398518657217e-53,3.31233851959343e-52,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus"
"c9bf5c74d65804a3c12ee5f33a35ce53",881.505347105519,4.5795078676283,0.139189167987482,28.6986798230333,3.96274539721911e-181,1.22845107313793e-179,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus"
"333a40af36286f867e8e903e420016d4",2541.99693838294,2.57575484244567,0.191525380774542,10.39440482339,2.62923243591681e-25,1.35843675855702e-24,"Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus"
"19bfaf559b3233830b1b54792a67e83a",37.174199718486,-7.03548425477949,1.23262174902593,-5.23317210584333,1.66625458822693e-07,5.1653892235035e-07,"Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","","Bacillaceae"
"d1bfe58aad618b7d5bdf9fde5c91085c",5.7417622595826,-3.77422268648911,1.6993597017512,-1.87674227091616,0.0605534260723272,0.0987976951706392,"Bacteria","Firmicutes","Clostridia","Clostridiales","[Tissierellaceae]","Helcococcus","Helcococcus"
"71cc69f84c94166e9c053211237a4f1b",14.4282536756113,-3.84949607661103,1.2735598645039,-2.56331380006352,0.0103678295556554,0.0189060421309009,"Bacteria","Firmicutes","Clostridia","Clostridiales","[Tissierellaceae]","Peptoniphilus","Peptoniphilus"
