"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Kingdom","Phylum","Class","Order","Family","Genus","REC"
"9eeb37ab369d9f263c08e59d48c20920",86.3155034708919,-7.00452622960492,1.26443677509288,-5.07701441095164,3.83411802501015e-07,4.21752982751116e-06,"Bacteria","Fusobacteria","Fusobacteriia","Fusobacteriales","Fusobacteriaceae","Fusobacterium","Fusobacterium"
"ba6b8677a024bd6fb6f0f28f24794664",7.84755315970437,-3.36762872264849,1.51698302784834,-1.83434235640343,0.0666031904595414,0.0966273209301589,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Porphyromonas","Porphyromonas"
"345ee90c0d9bb3028b641ea58a2a5f73",37.8118185146385,-5.90092389533391,1.275828736184,-4.16667319354537,3.0907709214728e-05,0.000169992400681004,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides"
"070a9a6a119a4798ecd3f6dd0b0229a0",17.2249879277373,-6.43004214306715,2.60910198152396,-2.24026492016687,0.0250737292161565,0.0424324648273417,"Bacteria","Cyanobacteria","Chloroplast","Streptophyta","","","Streptophyta"
"5181cfd3246d68571628a84f6d7774d8",16.1666578710897,-4.7957639728191,2.32623250813094,-1.81013783333344,0.0702744152219337,0.0966273209301589,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter","Acinetobacter"
"f8fbeaf253aafeee895ae08c53b99df6",1169.736659011,1.36979049681552,0.255991341147144,3.06583805755852,0.00217060844444436,0.00434121688888872,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Escherichia","Escherichia"
"ef53c96349a804410165ad1870cfc6b2",585.99737984125,2.471645700018,0.322905046186307,5.84284210352131,5.13176544304977e-09,1.12898839747095e-07,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas"
"623654a68a8b850c15dfe14ea0305eef",62.1942809303408,-6.64668985036003,1.60020585308371,-3.78809222448318,0.000151808501816498,0.000477112434280423,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Tepidimonas","Tepidimonas"
"bc44915a0352691cc51940bd90fc8321",84.8719112324587,1.89465056208381,0.358954260559137,3.64862102297538,0.000263651696301923,0.000644481924293589,"Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Corynebacteriaceae","Corynebacterium","Corynebacterium"
"06c9d593ff06ac4631b576f9678dbe70",13.287435252499,-5.30603814409733,1.37305433255165,-3.43837496554317,0.000585216728147499,0.0012874768019245,"Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Actinomycetaceae","Trueperella","Trueperella"
"eb08e14b5a660f4e7869d54501c0db20",954.723480915261,1.37152443934099,0.270599881080786,2.90673423609158,0.00365223345543855,0.00669576133497067,"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium","Clostridium"
"9a51009b55aca2f468f71e938eccd22e",32.8783838097639,-6.12945756609031,1.26303557677158,-4.38981701492631,1.13446082466111e-05,8.31937938084816e-05,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Lactobacillus"
"b39d1b83c8d53619f16d68b941b8c0fe",2150.69501453548,-1.13149495526098,0.27667477075207,-1.97536064836782,0.0482272351903309,0.0757856552990914,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Lactococcus","Lactococcus"
"4669f785716df43aa86c9a990e619eb1",2994.04387475187,-1.36858777474125,0.21113499519716,-3.71148929284949,0.000206043384970712,0.000566619308669457,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus"
"19bfaf559b3233830b1b54792a67e83a",33.8834482607315,-5.55490372266306,1.27832696326768,-3.8878482303445,0.000101136829660084,0.000370835042086975,"Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","","Bacillaceae"
"71cc69f84c94166e9c053211237a4f1b",18.8457060136866,-5.94468727617215,1.30278474832709,-4.11405244215013,3.88773052510751e-05,0.000171060143104731,"Bacteria","Firmicutes","Clostridia","Clostridiales","[Tissierellaceae]","Peptoniphilus","Peptoniphilus"
