"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Kingdom","Phylum","Class","Order","Family","Genus","REC"
"9eeb37ab369d9f263c08e59d48c20920",86.3155034708919,-7.30214995231245,1.27387655131159,-5.27302857146967,1.34190662614275e-07,2.68381325228549e-06,"Bacteria","Fusobacteria","Fusobacteriia","Fusobacteriales","Fusobacteriaceae","Fusobacterium","Fusobacterium"
"ba6b8677a024bd6fb6f0f28f24794664",7.84755315970437,-4.11957186000195,1.52895993591695,-2.31177369416224,0.0207901578012321,0.0346502630020536,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Porphyromonas","Porphyromonas"
"345ee90c0d9bb3028b641ea58a2a5f73",37.8118185146385,-6.12623520697298,1.28423087600181,-4.31485709446845,1.59706181735504e-05,0.000159706181735504,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides"
"ef53c96349a804410165ad1870cfc6b2",585.99737984125,2.00576443098759,0.342254963684117,4.15129678463265,3.30596730685962e-05,0.000165298365342981,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas"
"623654a68a8b850c15dfe14ea0305eef",62.1942809303408,-7.50112242031829,1.64870077150142,-4.19491519573852,2.729736988542e-05,0.000165298365342981,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Tepidimonas","Tepidimonas"
"bc44915a0352691cc51940bd90fc8321",84.8719112324587,1.76642055118955,0.372590578400867,3.17092841031873,0.00151952586261446,0.00303905172522892,"Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Corynebacteriaceae","Corynebacterium","Corynebacterium"
"06c9d593ff06ac4631b576f9678dbe70",13.287435252499,-4.75406561565452,1.39614688158038,-2.98614935859336,0.002825146218677,0.00513662948850363,"Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Actinomycetaceae","Trueperella","Trueperella"
"eb08e14b5a660f4e7869d54501c0db20",954.723480915261,1.62995289500318,0.288161281716809,3.62640805890429,0.000287391080338129,0.000812512821988525,"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium","Clostridium"
"9a51009b55aca2f468f71e938eccd22e",32.8783838097639,-5.33823320437014,1.27429395174086,-3.73012105813996,0.0001913877916487,0.000637959305495665,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Lactobacillus"
"b39d1b83c8d53619f16d68b941b8c0fe",2150.69501453548,-1.13532145874269,0.295204324118465,-1.8643323049722,0.062275052884344,0.0958077736682216,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Lactococcus","Lactococcus"
"4669f785716df43aa86c9a990e619eb1",2994.04387475187,-1.2991788261412,0.22518738256908,-3.17165339048669,0.001515737968742,0.00303905172522892,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus"
"19bfaf559b3233830b1b54792a67e83a",33.8834482607315,-5.21603353437294,1.2883740979787,-3.59450802442967,0.00032500512879541,0.000812512821988525,"Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","","Bacillaceae"
"71cc69f84c94166e9c053211237a4f1b",18.8457060136866,-5.57426121063089,1.3170703241963,-3.78817942994371,0.000151755238685931,0.000607020954743723,"Bacteria","Firmicutes","Clostridia","Clostridiales","[Tissierellaceae]","Peptoniphilus","Peptoniphilus"
