"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Kingdom","Phylum","Class","Order","Family","Genus","REC"
"9eeb37ab369d9f263c08e59d48c20920",86.3155034708919,-8.37079284136866,1.27240243065547,-6.11899989584009,9.41644660780407e-10,1.10643247641698e-08,"Bacteria","Fusobacteria","Fusobacteriia","Fusobacteriales","Fusobacteriaceae","Fusobacterium","Fusobacterium"
"ba6b8677a024bd6fb6f0f28f24794664",7.84755315970437,-4.83809972172138,1.51886516191994,-2.80020723868865,0.00510698083694808,0.0192923668553426,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Porphyromonas","Porphyromonas"
"345ee90c0d9bb3028b641ea58a2a5f73",37.8118185146385,-7.13208974139376,1.28098526234512,-5.11100902807163,3.20442668715436e-07,2.15154363280364e-06,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides"
"5181cfd3246d68571628a84f6d7774d8",16.1666578710897,-6.21126751868597,2.43719163283394,-2.30851974960319,0.0209702456664988,0.0657067697550296,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter","Acinetobacter"
"ef53c96349a804410165ad1870cfc6b2",585.99737984125,2.28125652594302,0.341627258374962,4.96533570913142,6.85823303028686e-07,3.64677035858606e-06,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas"
"623654a68a8b850c15dfe14ea0305eef",62.1942809303408,-7.33513808436913,1.6481633783706,-4.09557430545587,4.21123126486645e-05,0.000179934426771567,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Tepidimonas","Tepidimonas"
"bc44915a0352691cc51940bd90fc8321",84.8719112324587,4.14001749749985,0.388896802168471,9.14138397887531,6.16581266478877e-20,9.65977317483574e-19,"Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Corynebacteriaceae","Corynebacterium","Corynebacterium"
"06c9d593ff06ac4631b576f9678dbe70",13.287435252499,-4.46445450503279,1.39249228113459,-2.78600611067707,0.00533618657700967,0.0192923668553426,"Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Actinomycetaceae","Trueperella","Trueperella"
"9a51009b55aca2f468f71e938eccd22e",32.8783838097639,-6.87675587459306,1.26803864899733,-4.96183091804573,6.98317728239883e-07,3.64677035858606e-06,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Lactobacillus"
"4669f785716df43aa86c9a990e619eb1",2994.04387475187,3.28092251129743,0.227740835458782,11.8378419274053,2.4877198519917e-32,1.1692283304361e-30,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus"
"c9bf5c74d65804a3c12ee5f33a35ce53",734.101535671901,3.7279250519731,0.3178220821835,9.88906286705813,4.64354316859863e-23,1.09123264462068e-21,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus"
"333a40af36286f867e8e903e420016d4",1727.59389762625,1.8905127126757,0.287641160194095,4.53881569339236,5.65710537211023e-06,2.65883952489181e-05,"Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus"
"19bfaf559b3233830b1b54792a67e83a",33.8834482607315,-7.31423193466841,1.28114421552697,-5.25254639750241,1.50010658549759e-07,1.17508349197311e-06,"Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","","Bacillaceae"
"37ced62c7d3d02789744b29b973c6495",1583.3035081231,1.85704437241345,0.237409573152479,5.35817429264021,8.40671223467248e-08,7.90230950059213e-07,"Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","Bacillus"
"71cc69f84c94166e9c053211237a4f1b",18.8457060136866,-3.88114988208765,1.3216173452563,-2.49405578187782,0.0126292695424346,0.0423982620353163,"Bacteria","Firmicutes","Clostridia","Clostridiales","[Tissierellaceae]","Peptoniphilus","Peptoniphilus"
