"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Kingdom","Phylum","Class","Order","Family","Genus","REC"
"676fa4bbf99f0b193108f9d8fb92f833",0.710045987686194,-3.20512506777182,1.35768759770159,-1.92987147520998,0.0536227645740637,0.0938398380046115,"Bacteria","Tenericutes","Mollicutes","Mycoplasmatales","Mycoplasmataceae","Mycoplasma","Mycoplasma"
"9eeb37ab369d9f263c08e59d48c20920",17.3661724034123,-7.23760823180318,1.22175001769418,-5.44517751973321,5.17537451827793e-08,3.62276216279455e-07,"Bacteria","Fusobacteria","Fusobacteriia","Fusobacteriales","Fusobacteriaceae","Fusobacterium","Fusobacterium"
"ba6b8677a024bd6fb6f0f28f24794664",2.35174996976198,-4.58975770320979,1.31399769518599,-3.04779469337027,0.00230527367384479,0.00717196254085046,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Porphyromonas","Porphyromonas"
"345ee90c0d9bb3028b641ea58a2a5f73",9.74539967529581,-6.20177426955145,1.23075195810158,-4.56372360966557,5.02542299235389e-06,2.81423687571818e-05,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides"
"8602dda9514781228aaa7bcf0ca97b0b",0.860321330317258,-3.4746574269969,1.36041545941871,-2.12412679249505,0.0336595426846033,0.0628311463445929,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","5-7N15","5-7N15"
"5181cfd3246d68571628a84f6d7774d8",1.31196532639779,-4.07593315369111,1.32518608000463,-2.63432487380018,0.00843047809864789,0.018157952827857,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter","Acinetobacter"
"ef53c96349a804410165ad1870cfc6b2",298.747233357836,2.721258649745,0.286164397862997,7.46527578195317,8.31253263587533e-14,1.16375456902255e-12,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas"
"623654a68a8b850c15dfe14ea0305eef",6.99016370917492,-3.92576448284139,1.2814454330739,-2.60705754290794,0.00913240116845835,0.0182648023369167,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Tepidimonas","Tepidimonas"
"bc44915a0352691cc51940bd90fc8321",42.387686648273,3.96479530333581,0.301136466134147,11.2235919017162,3.12321842898506e-29,8.74501160115818e-28,"Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Corynebacteriaceae","Corynebacterium","Corynebacterium"
"06c9d593ff06ac4631b576f9678dbe70",2.58555445995339,-4.27147142251201,1.35915769613244,-2.71234819350324,0.0066808374594853,0.0158382653390192,"Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Actinomycetaceae","Trueperella","Trueperella"
"eb08e14b5a660f4e7869d54501c0db20",303.888548877914,2.3341743098263,0.294841701454121,5.9327150822908,2.97965668460795e-09,2.78101290563409e-08,"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium","Clostridium"
"9a51009b55aca2f468f71e938eccd22e",10.6378399023792,-5.81820888951557,1.23497498755112,-4.23753229137995,2.25989924943474e-05,0.000105461964973621,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Lactobacillus"
"b39d1b83c8d53619f16d68b941b8c0fe",1099.92428821066,-1.77263693774859,0.410588741123567,-2.89261326011374,0.0038205140684903,0.0106974393917728,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Lactococcus","Lactococcus"
"4669f785716df43aa86c9a990e619eb1",4122.14920813985,2.09875620804252,0.471689787608466,3.2092993045207,0.00133058902132219,0.00465706157462766,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus"
"19bfaf559b3233830b1b54792a67e83a",8.55496416317226,-5.31609717911114,1.31080876340439,-3.60932487672911,0.000306994940827801,0.0012279797633112,"Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","","Bacillaceae"
"71cc69f84c94166e9c053211237a4f1b",3.23070212512453,-4.09254647722854,1.29570843711384,-2.70707813273213,0.00678782800243679,0.0158382653390192,"Bacteria","Firmicutes","Clostridia","Clostridiales","[Tissierellaceae]","Peptoniphilus","Peptoniphilus"
