"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"676fa4bbf99f0b193108f9d8fb92f833",0,NA,NA,NA,NA,NA
"21e36df85d8b20646ea22462166bc109",23.0448130253426,-21.1284991857915,4.71251485419963,-4.35935743879145,NA,NA
"ddec97f9aeeb314bfd2ad6629a4a795d",1.06640294969582,1.71558026009662,4.85677794710338,0.23279173387982,0.815923132017944,NA
"9eeb37ab369d9f263c08e59d48c20920",0,NA,NA,NA,NA,NA
"2e38add17618e0c5ad17b238b573190a",0,NA,NA,NA,NA,NA
"662e3874b52219a80d1899a96fe5aef1",0,NA,NA,NA,NA,NA
"bb5ded604cfb602f817f9bc447a906e6",0.810194795835716,1.71558026009663,4.85677794710338,0.23279173387982,0.815923132017944,NA
"7283dbc736c90f0ef82ff7ea1eccbb64",14.5817065579646,0.411547578545435,4.85677794710338,0,NA,NA
"e046aa43f4bd5c3133b1ce07e9287d58",0,NA,NA,NA,NA,NA
"55e95d54e8a0bf05cdf8017532eef1f3",0,NA,NA,NA,NA,NA
"87b7fb0d426a69a3705f3b412cc3daef",0,NA,NA,NA,NA,NA
"f0b1c7b7f3387d41ab91bf656785b1c9",0,NA,NA,NA,NA,NA
"ba6b8677a024bd6fb6f0f28f24794664",0,NA,NA,NA,NA,NA
"9b2efbe20ea11e0a538c485639e8e159",0,NA,NA,NA,NA,NA
"0aa42746fa1c601ec08e6e4139374081",0,NA,NA,NA,NA,NA
"2a45403d5130fda2ff319a424b672644",0,NA,NA,NA,NA,NA
"5ef56aba0fba42bf9e8f04504b6d4a58",0,NA,NA,NA,NA,NA
"12cf121610364aef95f0640e2dcad212",0,NA,NA,NA,NA,NA
"345ee90c0d9bb3028b641ea58a2a5f73",0,NA,NA,NA,NA,NA
"8602dda9514781228aaa7bcf0ca97b0b",0,NA,NA,NA,NA,NA
"891673c7c84b04afdb5d7c33e45f1f86",0.868847976436381,1.71558026009662,4.85677794710338,0.23279173387982,0.815923132017944,NA
"070a9a6a119a4798ecd3f6dd0b0229a0",16.481027839873,-4.69003061550418,2.24024183768298,-1.83242185987777,0.0668885937036087,0.0975695969783147
"aba55fff0b4acb780dd54e2b953ea50b",34.887832879991,-6.76908475839399,1.89163357699055,-3.26919670537425,0.00107853294353341,0.00246575433101614
"42a8e129b24d2020880f454fb40f659d",8.11290791753938,-4.0260725776505,2.14682549720735,-1.60288299230917,0.108960489285229,NA
"4faf9cf6aabc4ca62ba2dd64df4ce639",0,NA,NA,NA,NA,NA
"7530628dcae7bd8e82b657d00a46cf31",175.034664934835,-10.3217629209376,1.47282293975349,-6.61097824959605,3.81788585778132e-11,3.30883441007714e-10
"5181cfd3246d68571628a84f6d7774d8",78.5799407811979,-8.12577212552812,1.82051964837197,-4.14211932925331,3.44111214339266e-05,0.000127812736754585
"f8fbeaf253aafeee895ae08c53b99df6",1014.60602616832,0.718358709464724,0.540894043034048,0.24662170061128,0.80520100854924,0.87230109259501
"c62032e3c3c86ea4d8ae5afb08699f17",4.42866552251017,-3.08483149770233,4.27290099446067,-0.585051935493467,0.558512795937641,NA
"874d4ec679f1fc85f013adf6d37d89b3",180.202633737199,-8.93959430825632,1.33838539790965,-6.24232139754647,4.31123931896479e-10,2.80230555732711e-09
