"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Kingdom","Phylum","Class","Order","Family","Genus","REC"
"f8fbeaf253aafeee895ae08c53b99df6",6440.30176337712,5.09150507263687,0.774343492457935,5.81982365166003,5.890974808904e-09,2.18807635759292e-08,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Escherichia","Escherichia"
"ae0ae98c0a83e6a3ed3c31700a99ace6",47.5546241020985,4.02594310776048,1.80339396323198,1.90805818206939,0.0563836967865874,0.0977317410967516,"Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Halomonadaceae","Halomonas","Halomonas"
"ef53c96349a804410165ad1870cfc6b2",3256.41638497994,6.58486950783694,0.660639275821041,9.08197139756657,1.06625795235253e-19,1.38613533805828e-18,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas"
"ffcdd935bd6eb52317fb4a3879d07a56",13.3909959241771,5.80113695252493,2.37076543704862,2.20020689111169,0.0277922196112884,0.0555844392225767,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenaceae","Alcaligenes","Alcaligenes"
"bc44915a0352691cc51940bd90fc8321",150.70116103264,5.54641015854013,0.533852544434575,9.29366678035382,1.4906255026898e-20,3.87562630699347e-19,"Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Corynebacteriaceae","Corynebacterium","Corynebacterium"
"eb08e14b5a660f4e7869d54501c0db20",3896.99985351605,4.81920554760111,0.658238934808046,6.43268397381376,1.25370143064924e-10,6.51924743937605e-10,"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium","Clostridium"
"9a51009b55aca2f468f71e938eccd22e",16.2985877394677,-4.08627361964012,1.56278156481362,-2.24043538633407,0.0250626711393707,0.0543024541353032,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Lactobacillus"
"b39d1b83c8d53619f16d68b941b8c0fe",4048.61735363268,3.9262786376266,0.603862153618968,5.53324316962209,3.14363164116704e-08,1.02168028337929e-07,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Lactococcus","Lactococcus"
"4669f785716df43aa86c9a990e619eb1",5281.97308423077,3.91872858724975,0.636621134954309,5.23665631485492,1.63511763537859e-07,4.72367316887148e-07,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus"
"c9bf5c74d65804a3c12ee5f33a35ce53",1400.06740984441,5.27676956573423,0.638425753934611,7.34902537389434,1.99657287988529e-13,1.29777237192544e-12,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus"
"333a40af36286f867e8e903e420016d4",4162.69534853768,4.34379942411871,0.64177527875677,5.8569362950207,4.71483876425695e-09,2.04309679784468e-08,"Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus"
"37ced62c7d3d02789744b29b973c6495",3788.16314701902,5.00076626306551,0.599909574677337,7.36078227242733,1.82835573397186e-13,1.29777237192544e-12,"Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","Bacillus"
"1fd65b4c48a5f03eb5248ff876a5fde2",24.9957845033157,-4.53413668219077,1.89598163946415,-2.08291794565361,0.0372587035490369,0.0691947351624971,"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcus","Ruminococcus"
"a966717f3404d717f79d4bb77b0f90df",25.7547357701756,-4.50826571122036,1.48997963943361,-2.63312538417678,0.00846031083742588,0.0199970983430066,"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Faecalibacterium","Faecalibacterium"
"91f309287bb3e7621cabe2c00cedb163",12.2968700030207,-14.0248330119757,2.7982492980434,-4.80295680611875,1.56339620308583e-06,4.06483012802316e-06,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","","Lachnospiraceae"
