"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Kingdom","Phylum","Class","Order","Family","Genus","REC"
"f8fbeaf253aafeee895ae08c53b99df6",6440.30176337712,3.16268354142554,0.774005635891649,3.33036469138221,0.000867323057081491,0.00308381531406752,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Escherichia","Escherichia"
"ae0ae98c0a83e6a3ed3c31700a99ace6",47.5546241020985,5.54096385038444,1.89029368020541,2.62181554197692,0.00874627549002487,0.023323401306733,"Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Halomonadaceae","Halomonas","Halomonas"
"ef53c96349a804410165ad1870cfc6b2",3256.41638497994,4.34532446139581,0.659212610714506,5.70432346037628,1.16806082367764e-08,1.24593154525614e-07,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas"
"ffcdd935bd6eb52317fb4a3879d07a56",13.3909959241771,5.54092300146564,2.37076543704861,2.09044742398228,0.0365776265982467,0.0780322700762597,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenaceae","Alcaligenes","Alcaligenes"
"bc44915a0352691cc51940bd90fc8321",150.70116103264,4.89437101331896,0.531893375745775,8.10201575937193,5.40559392477988e-16,1.72979005592956e-14,"Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Corynebacteriaceae","Corynebacterium","Corynebacterium"
"eb08e14b5a660f4e7869d54501c0db20",3896.99985351605,2.57700289838062,0.657841341233198,3.02814717288086,0.00246058221619527,0.00787386309182488,"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium","Clostridium"
"8efb642214b33f9a69b40f2dd31fb4c4",18.3183559425361,-4.22923311917705,1.85532040475119,-1.96422710014048,0.0495037613896455,0.0990075227792909,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","","Lactobacillaceae"
"9a51009b55aca2f468f71e938eccd22e",16.2985877394677,-4.01556175811507,1.56309729803104,-2.19474453811371,0.0281819279372888,0.0693708995379416,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Lactobacillus"
"b39d1b83c8d53619f16d68b941b8c0fe",4048.61735363268,3.1311671035861,0.603749497166904,4.21731962479971,2.47223433894397e-05,0.000113016426923153,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Lactococcus","Lactococcus"
"4669f785716df43aa86c9a990e619eb1",5281.97308423077,3.86599964107586,0.636656329557554,5.15354515148679,2.5560749392725e-07,2.044859951418e-06,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus"
"c9bf5c74d65804a3c12ee5f33a35ce53",1400.06740984441,4.48434657045348,0.638020464568047,6.11169121725944,9.85807881984622e-10,1.5772926111754e-08,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus"
"333a40af36286f867e8e903e420016d4",4162.69534853768,3.25595200871416,0.64156852945446,4.16321777856562,3.13793815062181e-05,0.000125517526024872,"Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus"
"37ced62c7d3d02789744b29b973c6495",3788.16314701902,3.43993221289966,0.599642294756984,4.76112131706043,1.92520268365136e-06,1.23212971753687e-05,"Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","Bacillus"
"1fd65b4c48a5f03eb5248ff876a5fde2",24.9957845033157,-4.65777692703711,1.89604889753975,-2.14805347668022,0.0317095074755566,0.0724788742298437,"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcus","Ruminococcus"
"a966717f3404d717f79d4bb77b0f90df",25.7547357701756,-4.54367039340563,1.49013683803385,-2.65660695826282,0.00789314079498984,0.0229618641308795,"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Faecalibacterium","Faecalibacterium"
"91f309287bb3e7621cabe2c00cedb163",12.2968700030207,-13.7782746285374,2.79864514661756,-4.71417826720964,2.42688128427807e-06,1.2943366849483e-05,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","","Lachnospiraceae"
