Treatment,PerOf_untreated,Log,Cells/ml,Cell_state,Species
T15,0.41390371,4.080274049,12030.23328,Live,Bacillus subtilis
T15,0.697948796,4.114747216,13024.08482,Live,Bacillus subtilis
T15,0.558183668,4.035554719,10853.12284,Half,Bacillus subtilis
T15,0.632259956,4.023305987,10551.30039,Half,Bacillus subtilis
T15,0.594487917,3.976830037,9480.473693,Dead,Bacillus subtilis
T15,0.303354554,3.93629647,8635.678599,Dead,Bacillus subtilis
T45,0.425255867,4.092025043,12360.18706,Live,Bacillus subtilis
T45,0.923756758,4.236481283,17237.77797,Live,Bacillus subtilis
T45,0.443251726,3.935428029,8618.427425,Half,Bacillus subtilis
T45,0.466733677,3.891479449,7788.959555,Half,Bacillus subtilis
T45,0.666207261,4.026296367,10624.20316,Dead,Bacillus subtilis
T45,0.372354927,4.025303056,10599.93144,Dead,Bacillus subtilis
Untreated,,4.46337473,29065.29462,Live,Bacillus subtilis
Untreated,,4.270923654,18660.51622,Live,Bacillus subtilis
Untreated,,4.288777593,19443.64097,Half,Bacillus subtilis
Untreated,,4.222410311,16688.23131,Half,Bacillus subtilis
Untreated,,4.202687005,15947.29416,Dead,Bacillus subtilis
Untreated,,4.454345951,28467.27858,Dead,Bacillus subtilis
T15,0.119894871,3.640264224,4367.814887,Live,Enterococcus faecalis
T15,0.414804754,4.002576604,10059.50483,Live,Enterococcus faecalis
T15,0.177694722,3.657645049,4546.163481,Half,Enterococcus faecalis
T15,0.128231417,3.607455023,4050,Half,Enterococcus faecalis
T15,0.163483627,3.662233648,4594.451255,Dead,Enterococcus faecalis
T15,0.106745526,3.609813982,4072.058254,Dead,Enterococcus faecalis
T45,0.181676611,3.820762639,6618.546718,Live,Enterococcus faecalis
T45,0.583090013,4.150468481,14140.62095,Live,Enterococcus faecalis
T45,0.216421487,3.743270897,5536.953766,Half,Enterococcus faecalis
T45,0.3347779,4.024217362,10573.46573,Half,Enterococcus faecalis
T45,0.068785979,3.286259307,1933.122193,Dead,Enterococcus faecalis
T45,0.060028712,3.35982333,2289.935925,Dead,Enterococcus faecalis
Untreated,,4.561463618,36430.373,Live,Enterococcus faecalis
Untreated,,4.384732878,24251.18016,Live,Enterococcus faecalis
Untreated,,4.40797052,25584.12214,Half,Enterococcus faecalis
Untreated,,4.499460581,31583.52363,Half,Enterococcus faecalis
Untreated,,4.448759384,28103.43358,Dead,Enterococcus faecalis
Untreated,,4.581464302,38147.34366,Dead,Enterococcus faecalis
T15,0.304189661,4.018877874,10444.2648,Half,Escherichia coli
T15,0.710680286,4.679367453,47793.34779,Live,Escherichia coli
T15,0.536481414,3.358062099,2280.668159,Half,Escherichia coli
T15,0.494680987,4.253429077,17923.7582,Dead,Escherichia coli
T15,0.262382992,4.452660309,28357.00167,Dead,Escherichia coli
T15,0.838005862,4.458980482,28772.69103,Live,Escherichia coli
T45,0.723438638,4.687094885,48651.34875,Live,Escherichia coli
T45,0.277120058,4.001771818,10040.88096,Half,Escherichia coli
T45,0.255647479,4.441366143,27629.06212,Dead,Escherichia coli
T45,0.741152121,4.405640781,25447.24559,Live,Escherichia coli
T45,0.366062853,4.391248844,24617.77761,Dead,Escherichia coli
T45,0.399381131,4.160491401,14470.76199,Half,Escherichia coli
Untreated,,4.208746006,16171.33993,Live,Escherichia coli
Untreated,,5.033724628,108074.8467,Live,Escherichia coli
Untreated,,4.535733426,34334.71332,Half,Escherichia coli
Untreated,,4.827693184,67250.13871,Half,Escherichia coli
Untreated,,3.628507419,4251.159687,Dead,Escherichia coli
Untreated,,4.559103858,36232.9636,Dead,Escherichia coli
