OTUID	1.1	1.2	1.3	2.1	2.2	2.3	3.1	3.2	3.3	4.2	4.3	5.1	5.2	5.3	6.1	6.2	6.3	7.1	7.2	7.3	8.1	8.2	8.3	Blank.30ml.UHT.1	Blank.500ul.glycerol.1	Blank.500ul.PBS.1	MC.10ml.UHT.1	MC.10ml.UHT.2	MC.10ml.UHT.3	MC.1ml.UHT.1	MC.1ml.UHT.2	MC.1ml.UHT.3	MC.25.glycerol.1	MC.25.glycerol.2	MC.25.glycerol.3	MC.30ml.UHT.1	MC.30ml.UHT.2	MC.30ml.UHT.3	MC.50.1	MC.50.2	MC.50.3	MC.50.control.1	MC.dead.1	MC.dead.2	MC.dead.3	MC.dead.control.1	MC.live.1	Mc.live.2	MC.live.3	MC.live.control.1	MC.PBS.1	MC.PBS.2	MC.PBS.3	milliQ.1	milliQ.2	SEQ2	SEQ3	IONMB1	IONMB10	IONMB11	IONMB12	IONMB2	IONMB3	IONMB4	IONMB5	IONMB6	IONMB7	IONMB8	IONMB9	IONMM1	IONMM10	IONMM11	IONMM12	IONMM2	IONMM3	IONMM4	IONMM5	IONMM6	IONMM7	IONMM8	IONMM9	IONPCR1	IONPCR2	IONPCR3	IONSEQ1	IONSEQ2	IONSEQ3	Theo1.1	Theo1.2	Theo1.3	Theo2.1	Theo2.2	Theo2.3	10CB.1	10CB.2	10CB.3	10CB.NC	10CC.1	10CC.2	10CC.3	10CC.NC	10CV.1	10CV.2	10CV.3	10CV.NC	10TB.1	10TB.2	10TB.3	10TB.NC	10TC.1	10TC.2	10TC.3	10TC.NC	10TV.1	10TV.2	10TV.3	10TV.NC	10UB.1	10UB.2	10UB.3	10UB.NC	10UC.1	10UC.2	10UC.3	10UC.NC	10UV.1	10UV.2	10UV.3	10UV.NC	1CC.1	1CC.2	1CC.4	1CC.5	1CC.NC	1UC.1	1UC.2	1UC.3	1UC.4	1UC.5	200CB.1	200CB.2	200CB.3	200CC.1	200CC.2	200CC.3	200CV.1	200CV.2	200CV.3	200TB.1	200TB.2	200TB.3	200TC.1	200TC.2	200TC.3	200TV.1	200TV.2	200TV.3	200UB.1	200UB.2	200UB.3	200UC.1	200UC.2	200UC.3	200UV.1	200UV.2	200UV.3	SEQ1	M4R1	M4R2	M4R3	M4W1	M4W2	M4W3	ML4R1	ML4R2	ML4R3	ML4W1	ML4W2	ML4W3	MLVR1	MLVR2	MLVR3	MLVW1	MLVW2	MLVW3	MVR1	MVR2	MVR3	MVW1	MVW2	MVW3	NC1	NC2	NC3	P4R1	P4R2	P4R3	P4W1	P4W2	P4W3	PL4R1	PL4R2	PL4R3	PL4W1	PL4W2	PL4W3	PLVR1	PLVR2	PLVR3	PLVW1	PLVW2	PLVW3	PVR1	PVR2	PVR3	PVW1	PVW2	PVW3
fef753d7cbf02a6a16969e449c156911	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1046	1046	1046	454	454	454	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
fef753d7cbf02a6a16969e449c156907	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1022	1022	1022	487	487	487	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
fef753d7cbf02a6a16969e449c156914	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	562	562	562	303	303	303	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
fef753d7cbf02a6a16969e449c156908	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	515	515	515	573	573	573	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
fef753d7cbf02a6a16969e449c156910	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	325	325	325	602	602	602	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
fef753d7cbf02a6a16969e449c156913	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	311	311	311	763	763	763	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
fef753d7cbf02a6a16969e449c156912	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	251	251	251	433	433	433	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
fef753d7cbf02a6a16969e449c156915	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	155	155	155	516	516	516	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
fef753d7cbf02a6a16969e449c156909	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	13	13	70	70	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4669f785716df43aa86c9a990e619eb1	70	32	53	1404	1655	1586	5395	3287	2245	3145	3639	971	3173	4889	3759	4182	3985	3054	934	1508	313	186	178	95	34	19	4309	8000	8682	4115	2818	4803	6905	7151	14709	4460	2869	2530	1040	173	352	10835	460	2635	137	2594	1536	1428	563	6523	5874	7091	4783	9	52	4953	6894	8748	5159	5975	4191	6743	7258	7503	7568	6906	6323	7758	7217	7342	5737	7838	10875	6408	4578	4482	6146	6535	10451	7727	4989	26976	8328	10165	6677	4132	6171	0	0	0	0	0	0	9258	8200	3812	34	493	528	509	140	10215	7984	6219	74	3439	3177	3326	32	448	595	368	34	5986	8938	6811	112	18	10988	17523	21	1336	636	827	98	15844	12591	11216	106	408	600	323	306	54	5066	3274	2665	3461	4438	4343	3346	5507	130	253	326	4943	3371	5775	3670	2568	3567	82	61	113	2867	2476	2502	3266	3806	25081	6815	4637	5774	16206	15050	18573	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
