FeatureID	Kingdom	Phylum	Class	Order	Family	Genus
00a101f9d04055ccd9ffabebf3b9e53d	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales		
00ef20c6b9b75887b4ab510098732e2e	Bacteria					
00f89091b3c93f85adf57029be2cbf2b	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	
011d9258a251d0d572053b08884e4d67	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus
013e3daa282c0ba8543eaefe68b65620	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	
01e5fad9b374dcfe867e513b708316a2	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Gardnerella
0202d6609762e9d7c8841bebd39cfad8	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	
0230ab5db545c4e4f9ca289eef126dce	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	RF16	
027380843762204c810aa0b2da4f6fde	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Nocardioidaceae	
02a006479cf0b597d4470db7cb7f3fd4	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia
03048021a4a6aabf63ce2c4ddc0933d5	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	
030944e77b603d6509910b2eda8d8a44	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus
0349c7e841186fd16fb5cf4ce21ab629	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia
037442a87c7bf7299fcb4d1247717312	Bacteria					
039970db1fe2aab53a0341cbe8fff6d2	Bacteria	Firmicutes	Clostridia	Clostridiales		
03ce83a67d0c6da25d52da79cfc26392	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Xanthomonas
04384ae5fc627429a434713ae07e5822	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	S24-7	
045a84374637ab642ed40f556653bf5e	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Ammoniphilus
04ebeefc4f17b956b4f586d298d55c95	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Microbacteriaceae	Cryocola
053c7f67eeb742d6ae526bcb1e130f43	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Succinivibrionaceae	Ruminobacter
0584a4bcefb823fe17bb1a7f9e7ebe8e	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus
05876683a5d3526728cc438942b5ea7d	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter
064471c2be3288efacfe8f7dbfe0786e	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	
064eb61334ce87d9e0bbf06272fafd5f	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Coprococcus
06c9d593ff06ac4631b576f9678dbe70	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Trueperella
06ffddfeeb7c36f1941e9ed84dfb3877	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Butyrivibrio
070a9a6a119a4798ecd3f6dd0b0229a0	Bacteria	Cyanobacteria	Chloroplast	Streptophyta		
07153325cb701dbe4a0e570229908490	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella
0770bdfd66b1dfd932653b2717759e1e	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Ralstonia
0788a9920828c616caafbad080843a62	Bacteria	Firmicutes	Bacilli	Turicibacterales	Turicibacteraceae	Turicibacter
08574cc1d460a5833b180b783227e957	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	
086fbfdd9f0251a6be51beb09b795259	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	
0882e9ea87bdcf401a0230f23df1ba8b	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	
088c48de063b264a133e67cd8960bec9	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	
08b9db82eb3b518983dd12aa4f245098	Bacteria	[Thermi]	Deinococci	Thermales	Thermaceae	Thermus
090d038d946b7027325335abcdb3038a	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptococcaceae	rc4-4
095fde5ed45b9ba86c7a449709a41378	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	
0965152ce5d2688f8cd0394a1f3c086e	Bacteria	Firmicutes	Bacilli	Lactobacillales	Aerococcaceae	Facklamia
097ad263ecb872639e151ec0fe277997	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus
09e06531e6caafc6ee0f927a3fcd394e	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Macrococcus
09e31b20ae286ddd9676e78b250ebc84	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	
0a45ad941732bf2b8e04671bd895d4fa	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	[Paraprevotellaceae]	[Prevotella]
0a5003cdce4ff6ac5ed1ae02ff2410c2	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	[Paraprevotellaceae]	
0a65dc057362b079898ba2d2b2d506b6	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Stenotrophomonas
0aa42746fa1c601ec08e6e4139374081	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	S24-7	
0b00423e8f994dc41d3e791f27fe8951	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Coprococcus
0b43f868c81b4dd0434f0f321ce9e7bf	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospira
0bda2169c7437c37aee4eb715e2dedab	Bacteria					
0c5d34fa1aad0b28f66f773b4505fd4b	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acidocella
0cb679e8ea8c573cc2d7edb9f5d86fc0	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia
0cbfd0ce2c4dceb114e182ba05d41133	Bacteria	Cyanobacteria	Chloroplast	Stramenopiles		
0dc55ab1dd23b8f0d670dccbdc4cf8f0	Archaea	Crenarchaeota	Thaumarchaeota	Nitrososphaerales	Nitrososphaeraceae	Candidatus Nitrososphaera
0de95312e30cae655eb0329b51ce7ff5	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia
0e545443b04ff6665bf4e4b3115a3acf	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	
0e7cc12ce9c290c123fb50817cbe09cf	Bacteria	Firmicutes	Clostridia	Clostridiales	[Tissierellaceae]	Parvimonas
0f453c954fd287b053041e1135383096	Unassigned					
0f7d0adfb5a6ac587f980ef54f6fe325	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Dietziaceae	Dietzia
100ab36654120ddfa85aac7543cf76e3	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Atopobium
10464fb6cdd3d3ac95195dd3257342fc	Bacteria	Firmicutes	Clostridia	Clostridiales		
10ecb9b68ccddf39be8c30a2d30538b5	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
10f6102ebd13d70520d0a8c95a043f30	Bacteria	[Thermi]	Deinococci	Deinococcales	Trueperaceae	B-42
111c3194c5a43ccdce20acfcbead353c	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Paludibacter
11502e1c4340d4b065e6b04b19be8611	Bacteria	Firmicutes	Erysipelotrichi	Erysipelotrichales	Erysipelotrichaceae	Erysipelothrix
1190b822fce6d7b7308527d5b3df39c8	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	
12735502e644a63f3a14f73235a9e937	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	
12cf121610364aef95f0640e2dcad212	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella
12e0968a55964989c2653c4097e5a273	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	
12fe27c5f88821434db948f61027bbe3	Bacteria	Firmicutes	Clostridia	Clostridiales	[Mogibacteriaceae]	Mogibacterium
131b75e5b3022d9b904645acc90b9103	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	
1324a9c9110d8d0ab487b2c39f81409c	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	
139a267e1f8b589f6ef90944c04f1db0	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus
139c3005adcb3aec9caa138a004313d7	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Paracoccus
13f16a1131c258833a314e9a1db175cb	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Janthinobacterium
1413986e54d97fe4e5e897368fe7307d	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Dietziaceae	Dietzia
14197b78ead1d45694341e30a5359289	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Dermabacteraceae	Brachybacterium
14498adb8ddd47c4b28392c923b81043	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus
1466269cd967101e2d8643c31ee4d1be	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	
14c17b0fd520645733c5c501b360dac1	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
157643683442a58297f15fdc942937e9	Bacteria	Firmicutes	Clostridia	Clostridiales	[Tissierellaceae]	Anaerococcus
15d4b5d1349794ce8d5e9f80c92e34a9	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus
160a0a96a296528a13a432e79244ddf9	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	
16249dd16f4b62a3678bd1cb8c3a1ca2	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia
167b72416a1300f18c978524a57b81f2	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Alcaligenes
176d9f4d9db462b312619222700f4f00	Bacteria	Firmicutes	Clostridia	Clostridiales		
1778541e6cbc4ffbe32d6b03eaeeeacc	Bacteria	Proteobacteria	Alphaproteobacteria	RF32		
17b3b8b29a9b789dcddb25e5481821b6	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Oscillospira
17cb8e1f64404baa377d5d2ef42c6e53	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Succinivibrionaceae	Ruminobacter
1820e6e409a195ddef6a8d62d7b5242b	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus
18d5abe2605b09ea5467b1ea527e8c40	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Mycobacteriaceae	Mycobacterium
193056de6bc96e731e8745bc5d0e5e37	Bacteria	Spirochaetes	Spirochaetes	Spirochaetales	Spirochaetaceae	Treponema
193eac1eca13b95650c7f0d9afbcd429	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Butyrivibrio
1940c6d9e025758be792c14d81fe4673	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	5-7N15
19bfaf559b3233830b1b54792a67e83a	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	
19f68c3e1b774f0c2c8f5224c65d0029	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	
1a1f385453a26d7047bf7a432e16dc59	Bacteria	Firmicutes	Clostridia	Clostridiales		
1ac7f8105cff907f77598697a04638fc	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	
1adcf6720e06a5ee3ac08d0aae634f66	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales		
1b23973c6e29a22b5251b26ac5dd74a4	Bacteria	Proteobacteria	Alphaproteobacteria	RF32		
1b30b35bf4ca7617dfd05dfe6923c041	Bacteria	Tenericutes	RF3	ML615J-28		
1b6bbbd7bdd852bcaeb1486ff06a0f0e	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	
1bcfe94f765532018dda0ce32e6bf778	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Tepidimonas
1bd661e648a44e84aa99346a0a30845e	Bacteria	Firmicutes	Erysipelotrichi	Erysipelotrichales	Erysipelotrichaceae	[Eubacterium]
1bedd0f83341c6209b71cd66e7329adf	Bacteria	Verrucomicrobia	Opitutae	[Cerasicoccales]	[Cerasicoccaceae]	
1c6e29a2c54579463977934cb78aecb2	Bacteria	Firmicutes	Erysipelotrichi	Erysipelotrichales	Erysipelotrichaceae	
1cdf728ea2f05a0b65acbb88230f293e	Bacteria	Firmicutes	Clostridia	Clostridiales		
1ce2394ffff4f2e934968863a01f16ad	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae	Sphingobacterium
1d2eda8514426ee402a8a49516efcfa8	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Mycoplana
1d8ec92dc006fa8291014d2d3e09916a	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	
1e09edfdeb94108244306f341b32488c	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	
1e7cc83d25a6c19f4cf573231b98faef	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Faecalibacterium
1e7ebd7e38883180477e83296d9f2315	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Coprococcus
1e97af9c5eb79c9fe6aaebf3c859cfb3	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	
1eb9b842e8e3d53eda77f7b4bd305902	Bacteria	Firmicutes	Clostridia	Clostridiales		
1ef6dc075fa42bbb343e7be2939163ec	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
1f14ed5f4d5b6b8860a4ff631c1c7154	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	
1fd65b4c48a5f03eb5248ff876a5fde2	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus
1fd7f01842de21cec2ef3b9f80e74254	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Candidatus Endobugula
20de9c498f8aabcf4f4a1830ce26eea3	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Afipia
20e9d7fb4fd165e3aa9af929750d560d	Bacteria	Firmicutes	Clostridia	Clostridiales		
20ea4e88a6abae0d23fd4b045d937183	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	
218361523040e025f5fc61155c6c3a0c	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	
2189c40ef6da5541a9a65e2eb926c10f	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rubellimicrobium
21af01991b3eede158c0fdda72773656	Bacteria	Tenericutes	Mollicutes	RF39		
21e36df85d8b20646ea22462166bc109	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	mitochondria	Phytophthora
226fe9f67971fb1c504cd077900d03ea	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ethanoligenens
228524bb0b5a4c2d0b31c00162a21ad0	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Corynebacteriaceae	Corynebacterium
22b269e2b2b32f2da72d79ee0ded3db3	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	
22ccad35775a3b63d9294a1956c6b54f	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Microbacteriaceae	Frigoribacterium
230004223787da8bdd623aae1ace65db	Bacteria	Firmicutes	Erysipelotrichi	Erysipelotrichales	Erysipelotrichaceae	
2302ce0d0115bf31a13b0de03209b067	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Micrococcaceae	Kocuria
2305278b96cf248786ec981fe7f24e17	Bacteria	Spirochaetes	Spirochaetes	Spirochaetales	Spirochaetaceae	Treponema
2310963b9eb7d458096cd9df1350216e	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	[Paraprevotellaceae]	CF231
23721d6fed93fd20b1ad41061118c5ed	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Paludibacter
23afde8d8365480622f84c9f4f0dd593	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	[Barnesiellaceae]	
2409f9e55d4bdc69fe3f7e1bfe4fe763	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Jeotgalicoccus
244a788a959d6dc4a9b4492145cfdfbb	Bacteria	Cyanobacteria	Chloroplast	Streptophyta		
2451510a3ef0744f343f75959e278069	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus
2531bfa5076a77ed727f2e9c2cfcda9a	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	[Chromatiaceae]	Rheinheimera
255e7de3b69c5db7d5a8e79e79df74ed	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
264773d08b65c78210744f40d557209e	Bacteria	Proteobacteria	Deltaproteobacteria	Bdellovibrionales	Bacteriovoracaceae	
265a626fcaa3ddace28c3288a3f34898	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Halomonadaceae	Halomonas
268139375602184888233fff2e5370f5	Bacteria	Firmicutes	Clostridia	Clostridiales		
26a9f933b1602cdac319cb50d737f7dc	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus
26af86dc1129fb45cdd0df587785d26c	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Oscillospira
