Method,SampleType,[Prevotella],[Ruminococcus],5-7N15,Acidovorax,Acinetobacter,Aerococcaceae,Alcaligenes,Alcanivorax,Anaeroplasmataceae,Anaerostipes,Azospira,Bacillaceae,Bacillus,Bacteroides,Bacteroidetes,Bifidobacterium,Blautia,Brachybacterium,Bradyrhizobium,Brevundimonas,Burkholderia,CF231,Cloacibacterium,Clostridiales,Clostridium,Comamonadaceae,Comamonas,Coprococcus,Corynebacterium,Coxiella,Cytophagaceae,Devosia,Dietzia,Dorea,Dyadobacter,Enhydrobacter,Enterobacteriaceae,Enterococcus,Erythromicrobium,Escherichia,Facklamia,Faecalibacterium,Fusobacterium,Geodermatophilaceae,Haemophilus,Halomonas,Helcococcus,Intrasporangiaceae,Janthinobacterium,Kaistobacter,Kocuria,Lachnospiraceae,Lactobacillaceae,Lactobacillus,Lactococcus,Leptotrichiaceae,Massilia,Meiothermus,Methylobacterium,Methylotenera,Micrococcus,Mycoplana,Mycoplasma,Neisseriaceae,Nocardioidaceae,Oxalobacteraceae,Paenibacillus,Parabacteroides,Parvimonas,Peptococcus,Peptoniphilus,Phytophthora,Porphyromonas,Prevotella,Prevotellaceae,Propionibacterium,Pseudomonas,Psychrobacter,Ralstonia,Rikenellaceae,Roseburia,Rubellimicrobium,Ruminococcaceae,Ruminococcus,S24-7,Schlegelella,Skermanella,SMB53,Sphingobacteriaceae,Sphingomonas,Staphylococcus,Stenotrophomonas,Streptococcus,Streptophyta,Tepidimonas,Thermus,Treponema,Trueperella,Turicibacter,Xanthomonadaceae
B5,Mock,0,0,0,0,0,0,0,0,0,0,0,-0.655483969,0.205492532,-1,0,0,0,0,0,0,0,0,0,0,1.883001986,0,0,0,-0.371363279,-1,0,0,0,0,0,0,0,-0.278963339,0,1.937238841,0,0,-1,0,0,0,0,0,0,0,0,0,0,-1,-0.283604035,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,-1,0,0,0,4.382058889,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.285284891,0,-0.387391919,0,-1,0,0,-1,0,0
B5,Mock,0,0,0,-1,-1,0,0,0,0,0,0,-0.716961043,0.105952197,-1,0,0,0,0,0,0,0,0,0,-1,1.094503209,0,0,0,-0.616902349,-1,0,0,0,0,0,0,0,-0.433265166,0,2.644789424,-1,0,-1,0,0,0,-1,0,0,0,0,0,0,-1,-0.210770579,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,3.083158588,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.222617643,0,-0.366884212,-1,-1,0,0,-1,-1,0
B5,Mock,0,0,0,0,-1,0,0,0,0,0,0,-0.661543398,0.020683413,-1,0,-1,0,0,0,0,0,0,0,0,1.34111386,0,0,0,-0.349915673,0,0,0,0,0,0,0,0,-0.393561767,0,2.546876182,0,0,-1,0,0,0,0,0,0,0,0,0,0,-1,-0.257534075,0,0,0,0,0,0,0,-1,0,0,0,0,0,-1,-1,-1,0,-1,0,0,0,3.068850911,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.21626266,0,-0.344385437,-1,-1,0,0,-1,0,0
B5,Mock,0,0,0,0,0,0,0,0,0,0,0,-0.762009943,0.086112683,-0.859321433,0,0,0,0,0,0,0,0,0,0,2.303503608,0,0,0,-0.227983473,-1,0,0,0,0,0,0,0,-0.294994248,0,1.680614042,0,0,-1,0,0,0,0,0,0,0,0,0,0,-1,-0.249009153,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,-1,0,0,0,5.077501536,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.279217699,0,-0.414119232,0,-1,0,0,-1,0,0
B5,Mock,0,0,0,-1,-1,0,0,0,0,0,0,-0.804478017,-0.003570179,-0.93727003,0,0,0,0,0,0,0,0,0,-1,1.399997967,0,0,0,-0.529525228,-1,0,0,0,0,0,0,0,-0.44586546,0,2.326346355,-1,0,-1,0,0,0,-1,0,0,0,0,0,0,-1,-0.172658557,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,3.610763855,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.216018472,0,-0.39450625,-1,-1,0,0,-1,-1,0
B5,Mock,0,0,0,0,-1,0,0,0,0,0,0,-0.766195768,-0.080394801,-0.929607328,0,-1,0,0,0,0,0,0,0,0,1.682578132,0,0,0,-0.201644085,0,0,0,0,0,0,0,0,-0.407044793,0,2.236987734,0,0,-1,0,0,0,0,0,0,0,0,0,0,-1,-0.22168027,0,0,0,0,0,0,0,-1,0,0,0,0,0,-1,-1,-1,0,-1,0,0,0,3.594607411,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.209609541,0,-0.372989068,-1,-1,0,0,-1,0,0
B5,Mock,0,0,0,0,0,0,0,0,0,0,0,-1,0.158054256,-1,0,0,0,0,0,0,0,0,0,0,2.345242269,0,0,0,-0.26369075,-1,0,0,0,0,0,0,0,-0.416314023,0,2.093637503,0,0,-1,0,0,0,0,0,0,0,0,0,0,-1,-0.344738347,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,-1,0,0,0,6.936437402,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.380963743,0,-0.49075882,0,-1,0,0,-1,0,0
B5,Mock,0,0,0,-1,-1,0,0,0,0,0,0,-1,0.062431011,-1,0,0,0,0,0,0,0,0,0,-1,1.430321138,0,0,0,-0.551285609,-1,0,0,0,0,0,0,0,-0.541222807,0,2.838862913,-1,0,-1,0,0,0,-1,0,0,0,0,0,0,-1,-0.278120201,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,5.021066139,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.326685754,0,-0.473711429,-1,-1,0,0,-1,-1,0
B5,Mock,0,0,0,0,-1,0,0,0,0,0,0,-1,-0.019482295,-1,0,-1,0,0,0,0,0,0,0,0,1.716471608,0,0,0,-0.238569611,0,0,0,0,0,0,0,0,-0.509082532,0,2.735736102,0,0,-1,0,0,0,0,0,0,0,0,0,0,-1,-0.320893091,0,0,0,0,0,0,0,-1,0,0,0,0,0,-1,-1,-1,0,-1,0,0,0,4.999967896,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.321181512,0,-0.455008929,-1,-1,0,0,-1,0,0
V3,Mock,0,0,0,0,0,0,0,0,0,0,0,-0.735400934,-0.010251066,-1,0,0,0,0,0,0,0,0,0,0,1.732038148,0,0,0,-0.584457564,-1,0,0,0,0,0,0,0,-0.117719968,0,1.786972928,0,0,-1,0,0,0,0,0,0,0,0,0,0,-1,-0.194105969,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,-1,0,0,0,3.940553547,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.144665888,0,-0.406388983,0,-1,0,0,-1,0,0
