SampleID,KIT,VOL,STORAGE,MATRIX,PMA,SampleOrCtrl,LYSING,For_AVE,Chemical_time,Bead_beat_speed_time,vortex_time,Description
2.1,Total,NA,NA,MILK,N,Sample,Bead_beating,Bead_beating_6.5_2min,NA,6.5_2min,NA,BCMC1
2.2,Total,NA,NA,MILK,N,Sample,Bead_beating,Bead_beating_6.5_2min,NA,6.5_2min,NA,BCMC1
2.3,Total,NA,NA,MILK,N,Sample,Bead_beating,Bead_beating_6.5_2min,NA,6.5_2min,NA,BCMC1
3.1,Total,NA,NA,MILK,N,Sample,Bead_beating,Bead_beating_6.5_1min,NA,6.5_1min,NA,BCMC1
3.2,Total,NA,NA,MILK,N,Sample,Bead_beating,Bead_beating_6.5_1min,NA,6.5_1min,NA,BCMC1
3.3,Total,NA,NA,MILK,N,Sample,Bead_beating,Bead_beating_6.5_1min,NA,6.5_1min,NA,BCMC1
4.2,Total,NA,NA,MILK,N,Sample,Bead_beating,Bead_beating_3.5_2min,NA,3.5_2min,NA,BCMC1
4.3,Total,NA,NA,MILK,N,Sample,Bead_beating,Bead_beating_3.5_2min,NA,3.5_2min,NA,BCMC1
5.1,Total,NA,NA,MILK,N,Sample,Bead_beating,Bead_beating_3.5_2min,NA,3.5_2min,NA,BCMC1
5.2,Total,NA,NA,MILK,N,Sample,Bead_beating,Bead_beating_3.5_1min,NA,3.5_1min,NA,BCMC1
5.3,Total,NA,NA,MILK,N,Sample,Bead_beating,Bead_beating_3.5_1min,NA,3.5_1min,NA,BCMC1
6.1,Total,NA,NA,MILK,N,Sample,Vortex,Vortex_15min,NA,NA,15min,BCMC1
6.2,Total,NA,NA,MILK,N,Sample,Vortex,Vortex_15min,NA,NA,15min,BCMC1
6.3,Total,NA,NA,MILK,N,Sample,Vortex,Vortex_15min,NA,NA,15min,BCMC1
7.1,Total,NA,NA,MILK,N,Sample,Vortex,Vortex_10min,NA,NA,10min,BCMC1
7.2,Total,NA,NA,MILK,N,Sample,Vortex,Vortex_10min,NA,NA,10min,BCMC1
7.3,Total,NA,NA,MILK,N,Sample,Vortex,Vortex_10min,NA,NA,10min,BCMC1
8.1,Total,NA,NA,MILK,N,Sample,Chemical,Chemical_20min,20min,NA,NA,BCMC1
8.2,Total,NA,NA,MILK,N,Sample,Chemical,Chemical_20min,20min,NA,NA,BCMC1
8.3,Total,NA,NA,MILK,N,Sample,Chemical,Chemical_20min,20min,NA,NA,BCMC1
Theo1.1,Expected,Expected,Expected,Expected,Expected,Expected,Expected,Expected,Expected,Expected,Expected,BCMC1
Theo1.2,Expected,Expected,Expected,Expected,Expected,Expected,Expected,Expected,Expected,Expected,Expected,BCMC1
Theo1.3,Expected,Expected,Expected,Expected,Expected,Expected,Expected,Expected,Expected,Expected,Expected,BCMC1
