SampleID,KIT,VOL,STORAGE,For_AVE,MATRIX,PMA,SampleOrCtrl,LYSING,Chemical_time,Bead_beat_speed_time,vortex_time,Description
IONMM1,Total,NA,NA,Fresh,Culture_media,N,Sample,Bead_beating,NA,6.5_2min,NA,BCMC1
IONMM2,Total,NA,NA,Fresh,Culture_media,N,Sample,Bead_beating,NA,6.5_2min,NA,BCMC1
IONMM3,Total,NA,NA,Fresh,Culture_media,N,Sample,Bead_beating,NA,6.5_2min,NA,BCMC1
IONMM4,Total,NA,NA,PBS1,PBS,N,Sample,Bead_beating,NA,6.5_2min,NA,BCMC1
IONMM5,Total,NA,NA,PBS1,PBS,N,Sample,Bead_beating,NA,6.5_2min,NA,BCMC1
IONMM6,Total,NA,NA,PBS1,PBS,N,Sample,Bead_beating,NA,6.5_2min,NA,BCMC1
IONMM7,Total,NA,NA,Milk,SKIM-MILK,N,Sample,Bead_beating,NA,6.5_2min,NA,BCMC1
IONMM8,Total,NA,NA,Milk,SKIM-MILK,N,Sample,Bead_beating,NA,6.5_2min,NA,BCMC1
IONMM9,Total,NA,NA,Milk,SKIM-MILK,N,Sample,Bead_beating,NA,6.5_2min,NA,BCMC1
IONMM10,Total,NA,FreezeThaw,Freeze_Thaw,PBS,N,Sample,Bead_beating,NA,6.5_2min,NA,BCMC1
IONMM11,Total,NA,FreezeThaw,Freeze_Thaw,PBS,N,Sample,Bead_beating,NA,6.5_2min,NA,BCMC1
IONMM12,Total,NA,FreezeThaw,Freeze_Thaw,PBS,N,Sample,Bead_beating,NA,6.5_2min,NA,BCMC1
Theo1.1,NA,NA,NA,Expected1,NA,N,Theoretical_value,Theoretical_value,NA,NA,NA,BCMC1
Theo1.2,NA,NA,NA,Expected1,NA,N,Theoretical_value,Theoretical_value,NA,NA,NA,BCMC1
Theo1.3,NA,NA,NA,Expected1,NA,N,Theoretical_value,Theoretical_value,NA,NA,NA,BCMC1
MC.25.glycerol.1,Total,NA,glycerol,Glycerol,glycerol,N,Sample,Bead_beating,,6.5_2min,,BCMC2
MC.25.glycerol.2,Total,NA,glycerol,Glycerol,glycerol,N,Sample,Bead_beating,,6.5_2min,,BCMC2
MC.25.glycerol.3,Total,NA,glycerol,Glycerol,glycerol,N,Sample,Bead_beating,,6.5_2min,,BCMC2
MC.PBS.1,Total,30ml,NA,PBS2,NA,N,Sample,Bead_beating,,6.5_2min,,BCMC2
MC.PBS.2,Total,30ml,NA,PBS2,NA,N,Sample,Bead_beating,,6.5_2min,,BCMC2
MC.PBS.3,Total,30ml,NA,PBS2,NA,N,Sample,Bead_beating,,6.5_2min,,BCMC2
Theo2.1,NA,NA,NA,Expected2,NA,N,Sample,Theoretical_value,NA,NA,NA,BCMC2
Theo2.2,NA,NA,NA,Expected2,NA,N,Sample,Theoretical_value,NA,NA,NA,BCMC2
Theo2.3,NA,NA,NA,Expected2,NA,N,Sample,Theoretical_value,NA,NA,NA,BCMC2
