"","For_AVE","SampleID","[Prevotella]","[Ruminococcus]","5-7N15","Acidovorax","Acinetobacter","Aerococcaceae","Alcaligenes","Alcanivorax","Anaeroplasmataceae","Anaerostipes","Azospira","Bacillaceae","Bacillus","Bacteroides","Bacteroidetes","Bifidobacterium","Blautia","Brachybacterium","Bradyrhizobium","Brevundimonas","Burkholderia","CF231","Cloacibacterium","Clostridiales","Clostridium","Comamonadaceae","Comamonas","Coprococcus","Corynebacterium","Coxiella","Cytophagaceae","Devosia","Dietzia","Dorea","Dyadobacter","Enhydrobacter","Enterobacteriaceae","Enterococcus","Erythromicrobium","Escherichia","Facklamia","Faecalibacterium","Fusobacterium","Geodermatophilaceae","Haemophilus","Halomonas","Helcococcus","Intrasporangiaceae","Janthinobacterium","Kaistobacter","Kocuria","Lachnospiraceae","Lactobacillaceae","Lactobacillus","Lactococcus","Leptotrichiaceae","Massilia","Meiothermus","Methylobacterium","Methylotenera","Micrococcus","Mycoplana","Mycoplasma","Neisseriaceae","Nocardioidaceae","Oxalobacteraceae","Paenibacillus","Parabacteroides","Parvimonas","Peptococcus","Peptoniphilus","Phytophthora","Porphyromonas","Prevotella","Prevotellaceae","Propionibacterium","Pseudomonas","Psychrobacter","Ralstonia","Rikenellaceae","Roseburia","Rubellimicrobium","Ruminococcaceae","Ruminococcus","S24-7","Schlegelella","Skermanella","SMB53","Sphingobacteriaceae","Sphingomonas","Staphylococcus","Stenotrophomonas","Streptococcus","Streptophyta","Tepidimonas","Thermus","Treponema","Trueperella","Turicibacter","Xanthomonadaceae"
"1","Dead","MC.dead.1",0,0,0,0.0246829418044815,0.0775198641046996,0,0.359059669062066,0.206719637612532,0,0,0,0.016969522490581,0.118015315502677,0,0,0,0,0,0,0.00578506448542534,0,0,0.00462805158834027,0,0.16121046366052,0,0.0455091739520127,0,0.166995528145945,0,0,0,0,0,0,0.0428094771921475,0,0.0293109933928217,0,0.0593933287170335,0,0,0,0,0.0227545869760063,0,0,0,0,0,0.0273826385643466,0,0.00578506448542534,0.210576347269482,0.196692192504462,0,0.00809909027959548,0.0246829418044815,0,0.00925610317668055,0.0782912060360896,0,0,0.0196692192504462,0,0,0,0,0,0,0,0,0,0,0,0.00809909027959548,0.0821479156930398,0,0,0,0,0,0,0,0,0.0134984837993258,0,0,0,0,0.178179986151101,0.00192835482847511,0.280768463025977,0.0123414709022407,1.36643223145747,0.00154268386278009,0,0,0,0.0231402579417014
"2","Dead","MC.dead.2",0,0,0,0.0389875547207601,0.0907654930060383,0,0.141541774747107,0.142581956543017,0,0,0.00901490889788326,0.00115575755101067,0.0665331096865145,0,0,0,0,0.0116346260135075,0,0.0100165654420925,0,0,0.00512385847614732,0,0.0726586247068711,0,0.0556304634553138,0,0.139037633386584,0,0,0,0.00454597970064199,0,0,0.125130017522756,0,0.006279616027158,0.0209192116732932,0.0863350890604974,0,0,0,0.0086296563808797,0.00720422206796654,0,0,0,0,0.0220364439726035,0.00589436351015444,0,0.161921632896595,0.264437327671242,0.121547169114623,7.70505034007116e-05,0.00866818163258006,0.0643756955912946,0,0,0.0970836342848966,0.00685749480266333,0,0,0.035944059836432,0.0149477976597381,0,0,0,0,0,0,0,0,0,0.0372924436459444,0.0536656756185956,0,0,0,0,0,0,0,0,0.0066263432924612,0.0727742004619721,0,0,0,0.169048804461161,0.0278152317276569,0.144739370638237,0.0216126662038996,1.63940356085694,0.00273529287072526,0,0,0,0.0154101006801423
"3","Dead","MC.dead.3",0,0,0,0.0306088143088857,0.0522629223040016,0,0.196026661850523,0.101432400608701,0,0,0,0,0.017746599785471,0,0,0,0,0,0,0,0,0,0,0,0.12715682965553,0,0.0063497008406731,0,0.103223341871455,0,0.104200218923866,0.0576357460922635,0,0,0,0.0589382488288118,0,0.0100943962082495,0,0.0210028566268418,0,0,0,0.00179094126275395,0,0,0,0,0,0,0.015955658522717,0,0.0369585151495588,0.13171558923345,0.126017139761051,0,0.538096443036528,0.0245847391523497,0,0,0.0323997555716396,0,0,0.0192119153640878,0.000976877052411246,0,0,0,0,0,0,0.0473785370419454,0,0,0,0.00341906968343936,0.251708653837964,0,0,0,0,0,0,0,0,0.0213284823109789,0,0,0,0.848254907177098,0.0597523130391545,0,0.037609766517833,0.00814064210342705,0.860140244648102,0.00130250273654833,0,0,0,0.0135134658916889
"4","Expected","Theo2.1",0,0,0,0,0,0,0,0,0,0,0,0,0.908117114972625,0,0,0,0,0,0,0,0,0,0,0,0.614139490597477,0,0,0,0.0833134967864794,0,0,0,0,0,0,0,0,0.360628421804332,0,0.681980480837896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.540347536300881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.57962389907165,0,0,0,0,0,0,0,0,0,0,0,0,0,0.515353487264937,0,0.716496072363723,0,0,0,0,0,0,0
"5","Expected","Theo2.2",0,0,0,0,0,0,0,0,0,0,0,0,0.908117114972625,0,0,0,0,0,0,0,0,0,0,0,0.614139490597477,0,0,0,0.0833134967864794,0,0,0,0,0,0,0,0,0.360628421804332,0,0.681980480837896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.540347536300881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.57962389907165,0,0,0,0,0,0,0,0,0,0,0,0,0,0.515353487264937,0,0.716496072363723,0,0,0,0,0,0,0
"6","Expected","Theo2.3",0,0,0,0,0,0,0,0,0,0,0,0,0.908117114972625,0,0,0,0,0,0,0,0,0,0,0,0.614139490597477,0,0,0,0.0833134967864794,0,0,0,0,0,0,0,0,0.360628421804332,0,0.681980480837896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.540347536300881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.57962389907165,0,0,0,0,0,0,0,0,0,0,0,0,0,0.515353487264937,0,0.716496072363723,0,0,0,0,0,0,0
"7","Half","MC.50.1",0,0,0,0.0391783441953317,0.0411130772420147,0,0.0561072583538084,0.129627114127764,0,0,0,0,0.0948019192874693,0,0,0,0,0,0,0,0,0,0,0,0.103991901259214,0,0.0145104978501229,0,0.0759382720823096,0,0,0,0.00580419914004914,0,0,0.0154778643734644,0.00290209957002457,0.187669105528256,0,0.560588900276413,0,0,0,0,0,0,0,0.00773893218673219,0,0,0.0116083982800983,0,0,0.122855548464373,0.757447987776413,0,0,0.0111247150184275,0,0,0.060944090970516,0,0,0.00338578283169533,0,0,0,0,0,0,0,0,0,0,0,0.00580419914004914,0.148490761332924,0,0,0,0,0,0,0,0,0,0,0,0,0,0.153811277211302,0.0178962806818182,0.503030592137592,0.0290209957002457,0.751160105374693,0.00338578283169533,0,0,0,0.0217657467751843
"8","Half","MC.50.2",0,0,0,0.0456894276694215,0.120453945673929,0,0.0446510315860255,0.256483832598798,0,0,0,0,0.0737261219211119,0,0,0,0,0,0,0.0114223569173554,0,0,0,0,0.0591885767535687,0,0.017652733417731,0,0.161989789009767,0,0,0.0145375451675432,0.00830716866716754,0,0,0.0654189532539444,0.0321902785852742,0.0612653689203606,0,0.194180067595041,0,0,0,0,0,0,0,0,0,0,0.00415358433358377,0,0.0290750903350864,0.196256859761833,0.518159645614576,0,0.0373822590022539,0.0353054668354621,0,0,0.0934556475056349,0,0,0.017652733417731,0,0,0,0,0,0,0,0,0,0,0,0.0072687725837716,0.233639118764087,0,0,0,0,0,0,0,0,0.0134991490841473,0,0,0,0,0.141221867341848,0.018691129501127,0.227408742263711,0.0155759412509391,1.37172122616604,0.018691129501127,0,0,0,0
"9","Half","MC.50.3",0,0,0,0.0181905067065042,0.0241024213861181,0,0.0145524053652034,0.111871616245001,0,0,0,0,0.0156893120343599,0,0,0,0,0,0,0,0,0,0,0,0.0613929601344518,0,0.0409286400896346,0,0.136201418964951,0,0,0,0.0072762026826017,0,0,0.0466131734354171,0,0.0716251201568605,0,0.438618592960584,0,0,0,0,0,0,0,0,0,0,0.0432024534279476,0,0.0304690987333946,0.13961213897242,1.04913747429763,0,0.0106869226900712,0.0191000320418295,0,0,0.0611655788006205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00409286400896346,0.11346328558182,0,0,0,0,0,0,0,0,0.007503584016433,0,0,0,0,0.0538893761180188,0,0.111871616245001,0.00659405868110779,1.30039384818122,0.0118238293592278,0,0,0,0.0072762026826017
"10","Live","MC.live.1",0,0,0,0.0493064712181392,0.113477393318217,0,0,0.0989754900187646,0,0,0,0,0.0489439236356529,0,0,0,0,0,0,0,0,0,0,0,0.168222078273651,0,0.0235655928616106,0,0.0485813760531665,0,0,0,0,0,0,0.594215487695074,0,0.105138798921032,0.00145019032994527,0.357109368749023,0,0,0,0.0061633089022674,0,0,0,0,0,0,0.0275536162689601,0,0.0141393557169664,0.0634458269351055,0.70588014310086,0,0,0.0224779501141517,0,0,0.0540195897904613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.114927583648163,0,0,0,0,0,0,0,0,0.00725095164972635,0,0,0,0,0.115290131230649,0.00688840406724003,0.556873086698983,0.00797604681469898,0.859237770492572,0.0021752854949179,0,0,0,0
