"","MC.dead.1","MC.dead.2","MC.dead.3","Theo2.1","Theo2.2","Theo2.3","MC.50.1","MC.50.2","MC.50.3","MC.live.1","Mc.live.2","MC.live.3","MC.50.control.1","MC.dead.control.1","MC.live.control.1"
"MC.dead.1",0,0.210275689223058,0.464160401002506,0.704010025062657,0.698997493734336,0.703007518796993,0.404260651629073,0.219298245614035,0.33734335839599,0.424310776942356,0.378195488721805,0.610526315789474,0.681954887218045,0.684210526315789,0.682706766917293
"MC.dead.2",0.210275689223058,0,0.492982456140351,0.80125313283208,0.796240601503759,0.800250626566416,0.46015037593985,0.255889724310777,0.358395989974937,0.478947368421053,0.445112781954887,0.617293233082707,0.779699248120301,0.779197994987469,0.779949874686717
"MC.dead.3",0.464160401002506,0.492982456140351,0,0.827067669172932,0.822055137844611,0.826065162907268,0.552380952380952,0.467669172932331,0.524310776942356,0.581704260651629,0.517543859649123,0.709022556390977,0.829824561403509,0.829072681704261,0.841604010025063
"Theo2.1",0.704010025062657,0.80125313283208,0.827067669172932,0,0.0213032581453634,0.0218045112781955,0.435588972431078,0.635588972431078,0.653383458646617,0.507268170426065,0.569423558897243,0.653634085213033,0.251378446115288,0.268922305764411,0.267669172932331
"Theo2.2",0.698997493734336,0.796240601503759,0.822055137844611,0.0213032581453634,0,0.0145363408521303,0.442105263157895,0.630576441102757,0.647619047619048,0.51203007518797,0.567669172932331,0.652882205513785,0.256641604010025,0.274185463659148,0.272932330827068
"Theo2.3",0.703007518796993,0.800250626566416,0.826065162907268,0.0218045112781955,0.0145363408521303,0,0.443358395989975,0.634586466165414,0.653884711779449,0.508771929824561,0.569924812030075,0.655137844611529,0.249122807017544,0.266666666666667,0.265413533834586
"MC.50.1",0.404260651629073,0.46015037593985,0.552380952380952,0.435588972431078,0.442105263157895,0.443358395989975,0,0.32406015037594,0.265664160401002,0.19749373433584,0.189724310776942,0.403258145363409,0.460651629072682,0.462155388471178,0.457142857142857
"MC.50.2",0.219298245614035,0.255889724310777,0.467669172932331,0.635588972431078,0.630576441102757,0.634586466165414,0.32406015037594,0,0.23859649122807,0.356140350877193,0.312531328320802,0.512280701754386,0.650877192982456,0.647368421052632,0.657142857142857
"MC.50.3",0.33734335839599,0.358395989974937,0.524310776942356,0.653383458646617,0.647619047619048,0.653884711779449,0.265664160401002,0.23859649122807,0,0.328822055137845,0.189724310776942,0.373182957393484,0.601754385964912,0.603007518796992,0.606516290726817
"MC.live.1",0.424310776942356,0.478947368421053,0.581704260651629,0.507268170426065,0.51203007518797,0.508771929824561,0.19749373433584,0.356140350877193,0.328822055137845,0,0.213784461152882,0.465413533834586,0.490225563909774,0.488721804511278,0.485213032581454
"Mc.live.2",0.378195488721805,0.445112781954887,0.517543859649123,0.569423558897243,0.567669172932331,0.569924812030075,0.189724310776942,0.312531328320802,0.189724310776942,0.213784461152882,0,0.306766917293233,0.494486215538847,0.49749373433584,0.497744360902256
"MC.live.3",0.610526315789474,0.617293233082707,0.709022556390977,0.653634085213033,0.652882205513785,0.655137844611529,0.403258145363409,0.512280701754386,0.373182957393484,0.465413533834586,0.306766917293233,0,0.579197994987469,0.582706766917293,0.582205513784461
"MC.50.control.1",0.681954887218045,0.779699248120301,0.829824561403509,0.251378446115288,0.256641604010025,0.249122807017544,0.460651629072682,0.650877192982456,0.601754385964912,0.490225563909774,0.494486215538847,0.579197994987469,0,0.0601503759398496,0.056390977443609
"MC.dead.control.1",0.684210526315789,0.779197994987469,0.829072681704261,0.268922305764411,0.274185463659148,0.266666666666667,0.462155388471178,0.647368421052632,0.603007518796992,0.488721804511278,0.49749373433584,0.582706766917293,0.0601503759398496,0,0.0799498746867168
"MC.live.control.1",0.682706766917293,0.779949874686717,0.841604010025063,0.267669172932331,0.272932330827068,0.265413533834586,0.457142857142857,0.657142857142857,0.606516290726817,0.485213032581454,0.497744360902256,0.582205513784461,0.056390977443609,0.0799498746867168,0
