"","Theo1.1","Theo1.2","Theo1.3","Theo2.1","Theo2.2","Theo2.3","IONMM10","IONMM11","IONMM12","IONMM1","IONMM2","IONMM3","MC.25.glycerol.1","MC.25.glycerol.2","MC.25.glycerol.3","IONMM7","IONMM8","IONMM9","IONMM4","IONMM5","IONMM6","MC.PBS.1","MC.PBS.2","MC.PBS.3"
"Theo1.1",0,0.0192982456140351,0.0228070175438597,0.322556390977444,0.319548872180451,0.321303258145363,0.361654135338346,0.373182957393484,0.364160401002506,0.351629072681704,0.352380952380952,0.366666666666667,0.442105263157895,0.433834586466165,0.440852130325815,0.384210526315789,0.378446115288221,0.387719298245614,0.332330827067669,0.311528822055138,0.333082706766917,0.442606516290727,0.430576441102757,0.423057644110276
"Theo1.2",0.0192982456140351,0,0.0220551378446115,0.327318295739348,0.324310776942356,0.326065162907268,0.371177944862155,0.382706766917293,0.373684210526316,0.361152882205514,0.361904761904762,0.376190476190476,0.451629072681704,0.443358395989975,0.450375939849624,0.393734335839599,0.38796992481203,0.397243107769424,0.341854636591479,0.32280701754386,0.342606516290727,0.452130325814536,0.440100250626566,0.432581453634085
"Theo1.3",0.0228070175438597,0.0220551378446115,0,0.317794486215539,0.314786967418546,0.316541353383459,0.367669172932331,0.379197994987469,0.370175438596491,0.357644110275689,0.358395989974937,0.372681704260652,0.44812030075188,0.43984962406015,0.4468671679198,0.390225563909774,0.384461152882206,0.393734335839599,0.338345864661654,0.32280701754386,0.339097744360902,0.448621553884712,0.436842105263158,0.429072681704261
"Theo2.1",0.322556390977444,0.327318295739348,0.317794486215539,0,0.0213032581453634,0.0218045112781955,0.224812030075188,0.232832080200501,0.243609022556391,0.216040100250627,0.197744360902256,0.208771929824561,0.296240601503759,0.2734335839599,0.303258145363409,0.288220551378446,0.282957393483709,0.268922305764411,0.310526315789474,0.321553884711779,0.275187969924812,0.27468671679198,0.299498746867168,0.270175438596491
"Theo2.2",0.319548872180451,0.324310776942356,0.314786967418546,0.0213032581453634,0,0.0145363408521303,0.215288220551378,0.223308270676692,0.234085213032581,0.206516290726817,0.181954887218045,0.199248120300752,0.302756892230576,0.279949874686717,0.309774436090226,0.278696741854637,0.280952380952381,0.266917293233083,0.301002506265664,0.312531328320802,0.265664160401002,0.281203007518797,0.306015037593985,0.276691729323308
"Theo2.3",0.321303258145363,0.326065162907268,0.316541353383459,0.0218045112781955,0.0145363408521303,0,0.229824561403509,0.237844611528822,0.248621553884712,0.221052631578947,0.196491228070175,0.213784461152882,0.305012531328321,0.282205513784461,0.31203007518797,0.293233082706767,0.289473684210526,0.275438596491228,0.315538847117795,0.3265664160401,0.280200501253133,0.283458646616541,0.308270676691729,0.278947368421053
"IONMM10",0.361654135338346,0.371177944862155,0.367669172932331,0.224812030075188,0.215288220551378,0.229824561403509,0,0.0238095238095238,0.0210526315789474,0.0200501253132832,0.0426065162907268,0.0335839598997494,0.283709273182957,0.256641604010025,0.271177944862155,0.102255639097744,0.102756892230576,0.0781954887218045,0.112280701754386,0.129072681704261,0.087719298245614,0.273182957393484,0.258395989974937,0.252631578947368
"IONMM11",0.373182957393484,0.382706766917293,0.379197994987469,0.232832080200501,0.223308270676692,0.237844611528822,0.0238095238095238,0,0.0345864661654135,0.0380952380952381,0.0496240601503759,0.0388471177944862,0.287468671679198,0.260902255639098,0.27593984962406,0.10952380952381,0.116791979949875,0.0922305764411028,0.115037593984962,0.134085213032581,0.0927318295739348,0.276691729323308,0.261904761904762,0.255889724310777
"IONMM12",0.364160401002506,0.373684210526316,0.370175438596491,0.243609022556391,0.234085213032581,0.248621553884712,0.0210526315789474,0.0345864661654135,0,0.031328320802005,0.0558897243107769,0.0493734335839599,0.298496240601504,0.269674185463659,0.282456140350877,0.104260651629073,0.102005012531328,0.0817042606516291,0.117293233082707,0.123558897243108,0.0909774436090226,0.288220551378446,0.2734335839599,0.267418546365915
"IONMM1",0.351629072681704,0.361152882205514,0.357644110275689,0.216040100250627,0.206516290726817,0.221052631578947,0.0200501253132832,0.0380952380952381,0.031328320802005,0,0.049874686716792,0.0330827067669173,0.279197994987469,0.25062656641604,0.263408521303258,0.110275689223058,0.107017543859649,0.0837092731829574,0.112781954887218,0.125563909774436,0.0989974937343358,0.268922305764411,0.254135338345865,0.24812030075188
