"","MC.10ml.UHT.1","MC.10ml.UHT.2","MC.10ml.UHT.3","10TB.1","10TB.2","10TB.3","MC.1ml.UHT.1","MC.1ml.UHT.2","MC.1ml.UHT.3","200TB.1","200TB.2","200TB.3","MC.30ml.UHT.1","MC.30ml.UHT.2","MC.30ml.UHT.3","Theo2.1","Theo2.2","Theo2.3"
"MC.10ml.UHT.1",0,0.0471177944862155,0.0726817042606516,0.0794486215538847,0.0894736842105263,0.0944862155388471,0.129072681704261,0.316040100250627,0.102255639097744,0.214285714285714,0.331829573934837,0.256140350877193,0.0952380952380952,0.1,0.0741854636591479,0.3734335839599,0.379949874686717,0.382205513784461
"MC.10ml.UHT.2",0.0471177944862155,0,0.0533834586466165,0.0721804511278196,0.0739348370927318,0.0842105263157895,0.121052631578947,0.321303258145363,0.108521303258145,0.20952380952381,0.329573934837093,0.253884711779449,0.0641604010025063,0.0784461152882206,0.0656641604010025,0.338345864661654,0.344862155388471,0.347117794486216
"MC.10ml.UHT.3",0.0726817042606516,0.0533834586466165,0,0.0799498746867168,0.0741854636591479,0.0832080200501253,0.116040100250627,0.322556390977444,0.118546365914787,0.201002506265664,0.329072681704261,0.246616541353383,0.0832080200501253,0.0789473684210526,0.0944862155388471,0.33483709273183,0.341353383458647,0.343609022556391
"10TB.1",0.0794486215538847,0.0721804511278196,0.0799498746867168,0,0.0463659147869674,0.0651629072681704,0.165914786967419,0.359147869674185,0.132330827067669,0.187719298245614,0.321303258145363,0.227318295739348,0.115037593984962,0.0982456140350877,0.113032581453634,0.361654135338346,0.368170426065163,0.370426065162907
"10TB.2",0.0894736842105263,0.0739348370927318,0.0741854636591479,0.0463659147869674,0,0.0308270676691729,0.154385964912281,0.345112781954887,0.129072681704261,0.162406015037594,0.318295739348371,0.22280701754386,0.119298245614035,0.107769423558897,0.114035087719298,0.334085213032581,0.343609022556391,0.347619047619048
"10TB.3",0.0944862155388471,0.0842105263157895,0.0832080200501253,0.0651629072681704,0.0308270676691729,0,0.158395989974937,0.341353383458647,0.144110275689223,0.15187969924812,0.303508771929825,0.221553884711779,0.12781954887218,0.123308270676692,0.123057644110276,0.335338345864662,0.341854636591479,0.345864661654135
"MC.1ml.UHT.1",0.129072681704261,0.121052631578947,0.116040100250627,0.165914786967419,0.154385964912281,0.158395989974937,0,0.253884711779449,0.0867167919799499,0.2265664160401,0.316040100250627,0.231328320802005,0.145614035087719,0.179197994987469,0.167418546365915,0.337092731829574,0.343609022556391,0.345864661654135
"MC.1ml.UHT.2",0.316040100250627,0.321303258145363,0.322556390977444,0.359147869674185,0.345112781954887,0.341353383458647,0.253884711779449,0,0.288220551378446,0.306516290726817,0.317543859649123,0.355889724310777,0.284210526315789,0.363659147869674,0.348621553884712,0.348621553884712,0.347869674185464,0.344611528822055
"MC.1ml.UHT.3",0.102255639097744,0.108521303258145,0.118546365914787,0.132330827067669,0.129072681704261,0.144110275689223,0.0867167919799499,0.288220551378446,0,0.247869674185464,0.333834586466165,0.25187969924812,0.154385964912281,0.153132832080201,0.146616541353383,0.399749373433584,0.406265664160401,0.408521303258145
"200TB.1",0.214285714285714,0.20952380952381,0.201002506265664,0.187719298245614,0.162406015037594,0.15187969924812,0.2265664160401,0.306516290726817,0.247869674185464,0,0.204511278195489,0.17218045112782,0.188972431077694,0.247368421052632,0.230075187969925,0.308521303258145,0.319047619047619,0.323057644110276
