"","Theo2.1","Theo2.2","Theo2.3","P4W1","P4W2","P4W3","P4R1","P4R2","P4R3","PL4W1","PL4W2","PL4W3","PL4R1","PL4R2","PL4R3","PLVW1","PLVW2","PLVW3","PLVR1","PLVR2","PLVR3","PVW1","PVW2","PVW3","PVR1","PVR2","PVR3","M4W1","M4W2","M4W3","M4R1","M4R2","M4R3","ML4W1","ML4W2","ML4W3","ML4R1","ML4R2","ML4R3","MLVW1","MLVW2","MLVW3","MLVR1","MLVR2","MLVR3","MVW1","MVW2","MVW3","MVR1","MVR2","MVR3"
"Theo2.1",0,0.0213032581453634,0.0218045112781955,0.126315789473684,0.123558897243108,0.12280701754386,0.169423558897243,0.193984962406015,0.217293233082707,0.125062656641604,0.131328320802005,0.155889724310777,0.115288220551378,0.178446115288221,0.130827067669173,0.212531328320802,0.246365914786967,0.191729323308271,0.18671679197995,0.220802005012531,0.195739348370927,0.16265664160401,0.119799498746867,0.129824561403509,0.188972431077694,0.1734335839599,0.143107769423559,0.194736842105263,0.190977443609023,0.21453634085213,0.2531328320802,0.288721804511278,0.312781954887218,0.215538847117794,0.187218045112782,0.192481203007519,0.203007518796992,0.195989974937343,0.179448621553885,0.319799498746867,0.344611528822055,0.31077694235589,0.287468671679198,0.312781954887218,0.305513784461153,0.301503759398496,0.164912280701754,0.225062656641604,0.217543859649123,0.164160401002506,0.206265664160401
"Theo2.2",0.0213032581453634,0,0.0145363408521303,0.142606516290727,0.138345864661654,0.131328320802005,0.174436090225564,0.200501253132832,0.222305764411028,0.135087719298246,0.147619047619048,0.166666666666667,0.12531328320802,0.183709273182957,0.139348370927318,0.214285714285714,0.24812030075188,0.193483709273183,0.188721804511278,0.228822055137845,0.198245614035088,0.178947368421053,0.129072681704261,0.137593984962406,0.195488721804511,0.179949874686717,0.159398496240602,0.20125313283208,0.207268170426065,0.230827067669173,0.258145363408521,0.295488721804511,0.319548872180451,0.231829573934837,0.203508771929825,0.208771929824561,0.209273182957393,0.202756892230576,0.195989974937343,0.32781954887218,0.352631578947368,0.318796992481203,0.284461152882206,0.320802005012531,0.313533834586466,0.30952380952381,0.178696741854637,0.233082706766917,0.219799498746867,0.171679197994987,0.214285714285714
"Theo2.3",0.0218045112781955,0.0145363408521303,0,0.142355889724311,0.136591478696742,0.127318295739348,0.172932330827068,0.202756892230576,0.220802005012531,0.132581453634085,0.147368421052632,0.161904761904762,0.12280701754386,0.176190476190476,0.133082706766917,0.211779448621554,0.245614035087719,0.190977443609023,0.184962406015038,0.228571428571429,0.197994987468672,0.178696741854637,0.120551378446115,0.131328320802005,0.197744360902256,0.182205513784461,0.159147869674185,0.203508771929825,0.207017543859649,0.230576441102757,0.256641604010025,0.29749373433584,0.315789473684211,0.231578947368421,0.203258145363409,0.208521303258145,0.211528822055138,0.198997493734336,0.189724310776942,0.327568922305764,0.352380952380952,0.318546365914787,0.279949874686717,0.320551378446115,0.31328320802005,0.309273182957393,0.17468671679198,0.232832080200501,0.220551378446115,0.168922305764411,0.214035087719298
"P4W1",0.126315789473684,0.142606516290727,0.142355889724311,0,0.037593984962406,0.0807017543859649,0.156390977443609,0.133082706766917,0.188721804511278,0.050125313283208,0.049874686716792,0.106015037593985,0.0493734335839599,0.156641604010025,0.113784461152882,0.19047619047619,0.224812030075188,0.187468671679198,0.194736842105263,0.200250626566416,0.198245614035088,0.0674185463659148,0.0598997493734336,0.0794486215538847,0.104010025062657,0.156641604010025,0.0588972431077694,0.100751879699248,0.0912280701754386,0.107017543859649,0.180952380952381,0.261152882205514,0.255889724310777,0.112280701754386,0.0969924812030075,0.108020050125313,0.156892230576441,0.153132832080201,0.109022556390977,0.297243107769424,0.313032581453634,0.28671679197995,0.324812030075188,0.307769423558897,0.283959899749373,0.275187969924812,0.128571428571429,0.194987468671679,0.278696741854637,0.183959899749373,0.225062656641604
"P4W2",0.123558897243108,0.138345864661654,0.136591478696742,0.037593984962406,0,0.0654135338345865,0.154887218045113,0.139598997493734,0.188721804511278,0.0383458646616541,0.0521303258145363,0.0924812030075188,0.0411027568922306,0.143859649122807,0.0962406015037594,0.166666666666667,0.202005012531328,0.162155388471178,0.176190476190476,0.179949874686717,0.193483709273183,0.0604010025062657,0.0456140350877193,0.0659147869674186,0.121804511278195,0.168421052631579,0.0478696741854637,0.10952380952381,0.0974937343358396,0.117042606516291,0.203007518796992,0.268170426065163,0.262155388471178,0.12280701754386,0.113533834586466,0.122305764411028,0.174185463659148,0.172431077694236,0.128822055137845,0.303759398496241,0.303007518796993,0.273684210526316,0.318045112781955,0.312280701754386,0.278696741854637,0.282205513784461,0.132330827067669,0.181954887218045,0.28671679197995,0.185213032581454,0.229573934837093
"P4W3",0.12280701754386,0.131328320802005,0.127318295739348,0.0807017543859649,0.0654135338345865,0,0.173684210526316,0.174185463659148,0.220551378446115,0.0526315789473684,0.0807017543859649,0.0518796992481203,0.0506265664160401,0.161904761904762,0.0463659147869674,0.126817042606516,0.16516290726817,0.108270676691729,0.120551378446115,0.179448621553885,0.171428571428571,0.120050125313283,0.043609022556391,0.0471177944862155,0.175187969924812,0.194486215538847,0.0847117794486216,0.170426065162907,0.15062656641604,0.171679197994987,0.217293233082707,0.28546365914787,0.291478696741855,0.182205513784461,0.144360902255639,0.157644110275689,0.212781954887218,0.210275689223058,0.158646616541353,0.30125313283208,0.306766917293233,0.280451127819549,0.286967418546366,0.295238095238095,0.271428571428571,0.279197994987469,0.140350877192982,0.189473684210526,0.280952380952381,0.194736842105263,0.21203007518797
"P4R1",0.169423558897243,0.174436090225564,0.172932330827068,0.156390977443609,0.154887218045113,0.173684210526316,0,0.112531328320802,0.101754385964912,0.160401002506266,0.145864661654135,0.220050125313283,0.152380952380952,0.0987468671679198,0.195739348370927,0.284711779448622,0.305012531328321,0.266416040100251,0.236340852130326,0.264411027568922,0.224812030075188,0.170927318295739,0.16390977443609,0.150375939849624,0.111278195488722,0.117042606516291,0.161654135338346,0.13859649122807,0.142355889724311,0.16140350877193,0.178696741854637,0.19047619047619,0.206766917293233,0.164912280701754,0.133333333333333,0.13609022556391,0.103759398496241,0.130576441102757,0.147368421052632,0.340852130325815,0.35062656641604,0.33734335839599,0.330827067669173,0.315538847117795,0.287719298245614,0.29749373433584,0.172932330827068,0.27468671679198,0.232581453634085,0.138847117794486,0.203007518796992
"P4R2",0.193984962406015,0.200501253132832,0.202756892230576,0.133082706766917,0.139598997493734,0.174185463659148,0.112531328320802,0,0.105263157894737,0.152380952380952,0.127568922305764,0.194235588972431,0.146115288220551,0.118546365914787,0.210526315789474,0.28546365914787,0.321052631578947,0.279949874686717,0.214285714285714,0.287719298245614,0.210275689223058,0.137092731829574,0.156140350877193,0.161904761904762,0.0531328320802005,0.0964912280701754,0.128571428571429,0.128070175438597,0.131328320802005,0.149624060150376,0.151127819548872,0.146115288220551,0.157393483709273,0.153634085213033,0.151378446115288,0.146616541353383,0.148621553884712,0.155388471177945,0.141102756892231,0.353634085213033,0.381203007518797,0.341353383458647,0.358395989974937,0.359398496240601,0.281453634085213,0.332080200501253,0.189724310776942,0.28671679197995,0.257142857142857,0.143107769423559,0.202255639097744
"P4R3",0.217293233082707,0.222305764411028,0.220802005012531,0.188721804511278,0.188721804511278,0.220551378446115,0.101754385964912,0.105263157894737,0,0.215789473684211,0.199749373433584,0.249122807017544,0.207518796992481,0.141604010025063,0.21453634085213,0.283709273182957,0.303007518796993,0.282456140350877,0.205764411027569,0.267669172932331,0.188721804511278,0.210526315789474,0.19874686716792,0.180952380952381,0.124812030075188,0.093734335839599,0.204511278195489,0.179949874686717,0.200501253132832,0.213032581453634,0.166416040100251,0.170426065162907,0.18671679197995,0.209774436090226,0.204761904761905,0.21453634085213,0.173684210526316,0.198245614035088,0.208771929824561,0.333333333333333,0.339598997493734,0.325814536340852,0.327067669172932,0.324812030075188,0.246616541353383,0.281704260651629,0.156641604010025,0.264160401002506,0.214786967418546,0.107268170426065,0.170175438596491
"PL4W1",0.125062656641604,0.135087719298246,0.132581453634085,0.050125313283208,0.0383458646616541,0.0526315789473684,0.160401002506266,0.152380952380952,0.215789473684211,0,0.0350877192982456,0.0857142857142857,0.0213032581453634,0.149122807017544,0.0829573934837093,0.177443609022556,0.213032581453634,0.157393483709273,0.158897243107769,0.20250626566416,0.186215538847118,0.0759398496240602,0.049874686716792,0.0734335839598998,0.132581453634085,0.181203007518797,0.0551378446115288,0.127067669172932,0.107518796992481,0.12781954887218,0.209774436090226,0.260401002506266,0.254636591478697,0.138345864661654,0.101754385964912,0.106265664160401,0.1734335839599,0.167919799498747,0.110526315789474,0.324812030075188,0.330827067669173,0.304511278195489,0.303508771929825,0.311278195488722,0.295739348370927,0.302756892230576,0.153383458646617,0.212781954887218,0.291979949874687,0.18922305764411,0.230325814536341
