,Theo1.1,Theo1.2,Theo1.3,Factor,For_AVE,Factor
2.1,0.347117794,0.355639098,0.352631579,Extraction,Bead_beating_6.5_2min,Extraction
2.2,0.347117794,0.355639098,0.352631579,Extraction,Bead_beating_6.5_2min,Extraction
2.3,0.368671679,0.377192982,0.374185464,Extraction,Bead_beating_6.5_2min,Extraction
3.1,0.365914787,0.37443609,0.371428571,Extraction,Bead_beating_6.5_1min,Extraction
3.2,0.366666667,0.37518797,0.372180451,Extraction,Bead_beating_6.5_1min,Extraction
3.3,0.348120301,0.356641604,0.353634085,Extraction,Bead_beating_6.5_1min,Extraction
4.2,0.395739348,0.404260652,0.401253133,Extraction,Bead_beating_3.5_2min,Extraction
4.3,0.380451128,0.388972431,0.385964912,Extraction,Bead_beating_3.5_2min,Extraction
5.1,0.364661654,0.373182957,0.370175439,Extraction,Bead_beating_3.5_2min,Extraction
5.2,0.370676692,0.379197995,0.376190476,Extraction,Bead_beating_3.5_1min,Extraction
5.3,0.362656642,0.371177945,0.368170426,Extraction,Bead_beating_3.5_1min,Extraction
6.1,0.339598997,0.348120301,0.345112782,Extraction,Vortex_15min,Extraction
6.2,0.381453634,0.389974937,0.386967419,Extraction,Vortex_15min,Extraction
6.3,0.379448622,0.387969925,0.384962406,Extraction,Vortex_15min,Extraction
7.1,0.328070175,0.336591479,0.33358396,Extraction,Vortex_10min,Extraction
7.2,0.370676692,0.379197995,0.376190476,Extraction,Vortex_10min,Extraction
7.3,0.344360902,0.352882206,0.349874687,Extraction,Vortex_10min,Extraction
8.1,0.564411028,0.569924812,0.561904762,Extraction,Chemical_20min,Extraction
8.2,0.597994987,0.603508772,0.595488722,Extraction,Chemical_20min,Extraction
8.3,0.59924812,0.604761905,0.596741855,Extraction,Chemical_20min,Extraction
10CB.1,0.402005013,0.408521303,0.415288221,Extraction,Core_Bead_beating_6.5_2min,Extraction
10CB.2,0.418546366,0.425062657,0.431829574,Extraction,Core_Bead_beating_6.5_2min,Extraction
10CB.3,0.387719298,0.394235589,0.401002506,Extraction,Core_Bead_beating_6.5_2min,Extraction
10CC.1,0.460902256,0.456390977,0.449874687,Extraction,Core_Chemical_,Extraction
10CC.2,0.453634085,0.449122807,0.442606516,Extraction,Core_Chemical_,Extraction
10CC.3,0.430827068,0.419047619,0.421804511,Extraction,Core_Chemical_,Extraction
10CV.1,0.436842105,0.443358396,0.450125313,Extraction,Core_Vortex_,Extraction
10CV.2,0.411779449,0.418295739,0.425062657,Extraction,Core_Vortex_,Extraction
10CV.3,0.375689223,0.382205514,0.388972431,Extraction,Core_Vortex_,Extraction
10TB.1,0.362155388,0.368671679,0.375438596,Extraction,Total_Bead_beating_6.5_2min,Extraction
10TB.2,0.336340852,0.34160401,0.350626566,Volume,Total_Bead_beating_6.5_2min,Volume
