bray,Theo1,Theo2,Theo3,ave,Description,Kit,Lysis
10CB.1,0.402005013,0.408521303,0.415288221,0.408604845,10CB,Core,Bead beat: 2min x 6.5m/s
10CB.2,0.418546366,0.425062657,0.431829574,0.425146199,10CB,Core,Bead beat: 2min x 6.5m/s
10CB.3,0.387719298,0.394235589,0.401002506,0.394319131,10CB,Core,Bead beat: 2min x 6.5m/s
10CC.1,0.460902256,0.456390977,0.449874687,0.45572264,10CC,Core,Chemical: 1hr
10CC.2,0.453634085,0.449122807,0.442606516,0.44845447,10CC,Core,Chemical: 1hr
10CC.3,0.430827068,0.419047619,0.421804511,0.423893066,10CC,Core,Chemical: 1hr
10CV.1,0.436842105,0.443358396,0.450125313,0.443441938,10CV,Core,Vortex: 15min
10CV.2,0.411779449,0.418295739,0.425062657,0.418379282,10CV,Core,Vortex: 15min
10CV.3,0.375689223,0.382205514,0.388972431,0.382289056,10CV,Core,Vortex: 15min
10TB.1,0.362155388,0.368671679,0.375438596,0.368755221,10TB,Total,Bead beat: 2min x 6.5m/s
10TB.2,0.336340852,0.34160401,0.350626566,0.342857143,10TB,Total,Bead beat: 2min x 6.5m/s
10TB.3,0.335338346,0.341854637,0.348621554,0.341938179,10TB,Total,Bead beat: 2min x 6.5m/s
10TC.1,0.343107769,0.347619048,0.345864662,0.345530493,10TC,Total,Chemical: 1hr
10TC.2,0.338847118,0.343358396,0.34160401,0.341269841,10TC,Total,Chemical: 1hr
10TC.3,0.367669173,0.372180451,0.370426065,0.370091896,10TC,Total,Chemical: 1hr
10TV.1,0.370676692,0.377192982,0.3839599,0.377276525,10TV,Total,Vortex: 15min
10TV.2,0.34887218,0.355388471,0.362155388,0.355472013,10TV,Total,Vortex: 15min
10UB.2,0.52481203,0.538596491,0.536090226,0.533166249,10UB,Ultra2,Bead beat: 2min x 6.5m/s
10UB.3,0.544110276,0.557894737,0.555388471,0.552464495,10UB,Ultra2,Bead beat: 2min x 6.5m/s
10UC.1,0.389223058,0.381453634,0.389223058,0.38663325,10UC,Ultra2,Chemical: 1hr
10UC.2,0.425062657,0.417794486,0.427067669,0.423308271,10UC,Ultra2,Chemical: 1hr
10UC.3,0.359649123,0.345363409,0.353884712,0.352965748,10UC,Ultra2,Chemical: 1hr
10UV.1,0.542606516,0.556390977,0.553884712,0.550960735,10UV,Ultra2,Vortex: 15min
10UV.2,0.570927318,0.584711779,0.582205514,0.579281537,10UV,Ultra2,Vortex: 15min
10UV.3,0.576190476,0.589974937,0.587468672,0.584544695,10UV,Ultra2,Vortex: 15min
M4R1,0.247869674,0.25914787,0.261152882,0.256056809,M4R,Total_phase3,Bead beat: 10s x 4m/s
M4R2,0.295989975,0.298997494,0.305764411,0.300250627,M4R,Total_phase3,Bead beat: 10s x 4m/s
M4R3,0.318796992,0.318796992,0.326315789,0.321303258,M4R,Total_phase3,Bead beat: 10s x 4m/s
M4W1,0.193734336,0.200250627,0.207017544,0.200334169,M4W,Total_phase3,Bead beat: 10s x 4m/s
M4W2,0.19122807,0.207017544,0.208521303,0.202255639,M4W,Total_phase3,Bead beat: 10s x 4m/s
M4W3,0.216290727,0.232080201,0.23358396,0.227318296,M4W,Total_phase3,Bead beat: 10s x 4m/s
ML4R1,0.201754386,0.208270677,0.215037594,0.208354219,ML4R,Total_phase3,Chemical + Bead beat: 1hr + 10s x 4m/s
ML4R2,0.197994987,0.197994987,0.205513784,0.200501253,ML4R,Total_phase3,Chemical + Bead beat: 1hr + 10s x 4m/s
ML4R3,0.181954887,0.19122807,0.193483709,0.188888889,ML4R,Total_phase3,Chemical + Bead beat: 1hr + 10s x 4m/s
ML4W1,0.215538847,0.231328321,0.23283208,0.226566416,ML4W,Total_phase3,Chemical + Bead beat: 1hr + 10s x 4m/s
ML4W2,0.185964912,0.201754386,0.203258145,0.196992481,ML4W,Total_phase3,Chemical + Bead beat: 1hr + 10s x 4m/s
ML4W3,0.191478697,0.20726817,0.20877193,0.202506266,ML4W,Total_phase3,Chemical + Bead beat: 1hr + 10s x 4m/s
MLVR1,0.292481203,0.29924812,0.285964912,0.292564745,MLVR,Total_phase3,Chemical + Vortex: 1hr + 30s 
