wuf,Theo2.1,Theo2.2,Theo2.3,ave,Kit,Description,Lysis
10CB.1,0.236210413,0.234740957,0.242998981,0.237983451,Core,Core_Bead_beating_6.5_2min,Bead beat: 2min x 6.5m/s
10CB.2,0.249574963,0.248114638,0.256345006,0.251344869,Core,Core_Bead_beating_6.5_2min,Bead beat: 2min x 6.5m/s
10CB.3,0.234631165,0.233159288,0.241428109,0.236406187,Total,Core_Bead_beating_6.5_2min,Bead beat: 2min x 6.5m/s
10CC.1,0.22176824,0.220304086,0.219492821,0.220521716,Core,Core_Chemical_,Chemical: 1hr
10CC.2,0.244000871,0.239210396,0.242688828,0.241966698,Core,Core_Chemical_,Chemical: 1hr
10CC.3,0.207388084,0.202595968,0.206007171,0.205330408,Core,Core_Chemical_,Chemical: 1hr
10CV.1,0.258627995,0.257171051,0.265398377,0.260399141,Core,Core_Vortex_,Vortex: 15min
10CV.2,0.245196513,0.243734009,0.251968891,0.246966471,Core,Core_Vortex_,Vortex: 15min
10CV.3,0.230384241,0.228914021,0.237165926,0.232154729,Core,Core_Vortex_,Vortex: 15min
10TB.1,0.22341925,0.221945818,0.230203295,0.225189454,Total,Total_Bead_beating_6.5_2min,Bead beat: 2min x 6.5m/s
10TB.2,0.214731487,0.213231593,0.221558516,0.216507199,Total,Total_Bead_beating_6.5_2min,Bead beat: 2min x 6.5m/s
10TB.3,0.216412324,0.214916855,0.223181973,0.218170384,Total,Total_Bead_beating_6.5_2min,Bead beat: 2min x 6.5m/s
10TC.1,0.209977919,0.214945654,0.207562518,0.210828697,Total,Total_Chemical_NA,Chemical: 1hr
10TC.2,0.212614959,0.217715735,0.209992705,0.213441133,Total,Total_Chemical_NA,Chemical: 1hr
10TC.3,0.258667562,0.263710398,0.256166692,0.259514884,Total,Total_Chemical_NA,Chemical: 1hr
10TV.1,0.222377373,0.220903187,0.229163025,0.224147862,Total,Total_Vortex_NA,Vortex: 15min
10TV.2,0.213177649,0.211675506,0.219971707,0.214941621,Total,Total_Vortex_NA,Vortex: 15min
10TV.3,0.189264674,0.187757526,0.196037934,0.191020044,Total,Total_Vortex_NA,Vortex: 15min
10UB.2,0.289824555,0.288412161,0.296441154,0.29155929,Ultra2,Ultra2_Bead_beating_6.5_2min,Bead beat: 2min x 6.5m/s
10UB.3,0.292668577,0.291255959,0.299291114,0.294405217,Ultra2,Ultra2_Bead_beating_6.5_2min,Bead beat: 2min x 6.5m/s
10UC.1,0.193242877,0.187454782,0.196353662,0.192350441,Ultra2,Ultra2_Chemical_,Chemical: 1hr
10UC.2,0.200945782,0.196577972,0.205739695,0.201087816,Ultra2,Ultra2_Chemical_,Chemical: 1hr
10UC.3,0.175002596,0.168624629,0.177560099,0.173729108,Ultra2,Ultra2_Chemical_,Chemical: 1hr
10UV.1,0.266626965,0.26515495,0.273379429,0.268387114,Ultra2,Ultra2_Vortex_,Vortex: 15min
10UV.2,0.269956443,0.268480437,0.27673317,0.27172335,Ultra2,Ultra2_Vortex_,Vortex: 15min
10UV.3,0.278978029,0.277509473,0.285736479,0.280741327,Ultra2,Ultra2_Vortex_,Vortex: 15min
