,ave,Description,Kit,Lysis
MC.10ml.UHT.1,0,10ml,Total,Bead beat: 2min x 6.5m/s
MC.10ml.UHT.2,0.025899894,10ml,Total,Bead beat: 2min x 6.5m/s
MC.10ml.UHT.3,0.035210789,10ml,Total,Bead beat: 2min x 6.5m/s
MC.1ml.UHT.1,0,1ml,Total,Bead beat: 2min x 6.5m/s
MC.1ml.UHT.2,0.0960767,1ml,Total,Bead beat: 2min x 6.5m/s
MC.1ml.UHT.3,0.030624175,1ml,Total,Bead beat: 2min x 6.5m/s
MC.30ml.UHT.1,0,30ml,Total,Bead beat: 2min x 6.5m/s
MC.30ml.UHT.2,0.034951439,30ml,Total,Bead beat: 2min x 6.5m/s
MC.30ml.UHT.3,0.040163918,30ml,Total,Bead beat: 2min x 6.5m/s
200TB.1,0,200ul,Total,Bead beat: 2min x 6.5m/s
200TB.2,0.15346973,200ul,Total,Bead beat: 2min x 6.5m/s
200TB.3,0.107213259,200ul,Total,Bead beat: 2min x 6.5m/s
MC.10ml.UHT.1,0.025899894,10ml,Total,Bead beat: 2min x 6.5m/s
MC.10ml.UHT.2,0,10ml,Total,Bead beat: 2min x 6.5m/s
MC.10ml.UHT.3,0.019498727,10ml,Total,Bead beat: 2min x 6.5m/s
MC.1ml.UHT.1,0.0960767,1ml,Total,Bead beat: 2min x 6.5m/s
MC.1ml.UHT.2,0,1ml,Total,Bead beat: 2min x 6.5m/s
MC.1ml.UHT.3,0.099944874,1ml,Total,Bead beat: 2min x 6.5m/s
MC.30ml.UHT.1,0.034951439,30ml,Total,Bead beat: 2min x 6.5m/s
MC.30ml.UHT.2,0,30ml,Total,Bead beat: 2min x 6.5m/s
MC.30ml.UHT.3,0.037504638,30ml,Total,Bead beat: 2min x 6.5m/s
200TB.1,0.15346973,200ul,Total,Bead beat: 2min x 6.5m/s
200TB.2,0,200ul,Total,Bead beat: 2min x 6.5m/s
200TB.3,0.080539437,200ul,Total,Bead beat: 2min x 6.5m/s
MC.10ml.UHT.1,0.035210789,10ml,Total,Bead beat: 2min x 6.5m/s
MC.10ml.UHT.2,0.019498727,10ml,Total,Bead beat: 2min x 6.5m/s
MC.10ml.UHT.3,0,10ml,Total,Bead beat: 2min x 6.5m/s
MC.1ml.UHT.1,0.030624175,1ml,Total,Bead beat: 2min x 6.5m/s
MC.1ml.UHT.2,0.099944874,1ml,Total,Bead beat: 2min x 6.5m/s
MC.1ml.UHT.3,0,1ml,Total,Bead beat: 2min x 6.5m/s
MC.30ml.UHT.1,0.040163918,30ml,Total,Bead beat: 2min x 6.5m/s
MC.30ml.UHT.2,0.037504638,30ml,Total,Bead beat: 2min x 6.5m/s
MC.30ml.UHT.3,0,30ml,Total,Bead beat: 2min x 6.5m/s
200TB.1,0.107213259,200ul,Total,Bead beat: 2min x 6.5m/s
200TB.2,0.080539437,200ul,Total,Bead beat: 2min x 6.5m/s
200TB.3,0,200ul,Total,Bead beat: 2min x 6.5m/s
