ave,Method,Description,Definition,Lysis,Kit
0.029077208,Milk1,intra,same sample by different method ,NA,Total_ProteinaseK
0.097389764,Milk1,intra,same sample by different method ,NA,Total_ProteinaseK
0.12426564,Milk1,intra,same sample by different method ,NA,Total_ProteinaseK
0.06826019,Milk2,intra,same sample by different method ,NA,Total_ProteinaseK
0.110200936,Milk1,intra,same sample by different method ,NA,Total_ProteinaseK
0.086429085,Milk2,intra,same sample by different method ,NA,Total_ProteinaseK
0.209494894,Milk3,intra,same sample by different method ,NA,Total_ProteinaseK
0.036774124,Milk3,intra,same sample by different method ,NA,Total_ProteinaseK
0.214820426,Milk3,intra,same sample by different method ,NA,Total_ProteinaseK
0.423724475,B1,inter,different sample by same extraction,NA,Total_ProteinaseK
0.413829769,B1,inter,different sample by same extraction,NA,Total_ProteinaseK
0.268178801,B1,inter,different sample by same extraction,NA,Total_ProteinaseK
0.481888047,B5,inter,different sample by same extraction,NA,Total_ProteinaseK
0.477642586,B5,inter,different sample by same extraction,NA,Total_ProteinaseK
0.235207323,B5,inter,different sample by same extraction,NA,Total_ProteinaseK
0.524218944,V3,inter,different sample by same extraction,NA,Total_ProteinaseK
0.552507882,V3,inter,different sample by same extraction,NA,Total_ProteinaseK
0.113232701,V3,inter,different sample by same extraction,NA,Total_ProteinaseK
