"","Theo2.1","Theo2.2","Theo2.3","10CB.1","10CB.2","10CB.3","10CC.1","10CC.2","10CC.3","10CV.1","10CV.2","10CV.3","10TB.1","10TB.2","10TB.3","10TC.1","10TC.2","10TC.3","10TV.1","10TV.2","10TV.3","10UB.2","10UB.3","10UC.1","10UC.2","10UC.3","10UV.1","10UV.2","10UV.3"
"Theo2.1",0,0.00972009411122263,0.00832885527757135,0.238488610193501,0.25182489203525,0.237160335368972,0.225780513407059,0.248466434742796,0.21191040379376,0.261048693169883,0.247312569678078,0.234225771123238,0.224189439108613,0.213556780894843,0.217859375664375,0.211482745092229,0.215838684856334,0.257755369777317,0.223971538792068,0.211688905245948,0.191192249676193,0.293274380507164,0.296145926859823,0.195914227174641,0.203499092982617,0.177956461988518,0.271057691453159,0.274768594209968,0.283058446127607
"Theo2.2",0.00972009411122263,0,0.00700158959553463,0.243949877946007,0.257336033109348,0.242700700767417,0.223661169778853,0.246411384596405,0.209817404391065,0.266556017973477,0.252827544335992,0.239757017443014,0.229722951986087,0.219156636660094,0.223238426301276,0.213889983453185,0.218252592482113,0.260187223830892,0.229507660253466,0.217085870417714,0.196586778303322,0.298643611323938,0.301433037023584,0.197048540677924,0.206932503712043,0.179095537075812,0.276404050509057,0.280133055404368,0.288403878134311
"Theo2.3",0.00832885527757135,0.00700158959553463,0,0.244199806308765,0.257540701250966,0.242909619429155,0.225108124138096,0.247825935984624,0.2112393398585,0.2667585709404,0.253033323563772,0.239966229340345,0.229934428124884,0.219394722849679,0.223631704367219,0.210374065996129,0.214733020572277,0.256699268899098,0.229719283011428,0.217458631497644,0.196964517925867,0.298834434131939,0.301680513059145,0.199455820506752,0.208481831461257,0.180965267460077,0.276758765065356,0.2804880646637,0.288755626279569
"10CB.1",0.238488610193501,0.243949877946007,0.244199806308765,0,0.0185977132003119,0.0122852344880636,0.329068042668664,0.300725049972498,0.278350704596737,0.0262153021937953,0.0159804194108115,0.0162750620518925,0.0387043136349525,0.0422092382365406,0.0475035346212471,0.393855900292632,0.400616235890913,0.438559689151671,0.0359243327831436,0.043319793850799,0.0589640900144948,0.0652160379435367,0.0682507834763189,0.110292015076894,0.0893019853494458,0.121798530479484,0.0782439127711685,0.0803487133042067,0.0799337780190839
"10CB.2",0.25182489203525,0.257336033109348,0.257540701250966,0.0185977132003119,0,0.0226555353116175,0.34208498362145,0.312969571849463,0.290722794962361,0.0108564524324537,0.0160466058466887,0.0221026055099922,0.0484218480065693,0.0541567559198236,0.0612290238088818,0.408674584036458,0.414886854218268,0.452991527084855,0.0463363762874178,0.0594597064368707,0.075341001734692,0.0532088712632866,0.0552172812758366,0.125996172923184,0.104437901492337,0.137832405280539,0.0729067275429461,0.0752282041917409,0.0744247944758205
"10CB.3",0.237160335368972,0.242700700767417,0.242909619429155,0.0122852344880636,0.0226555353116175,0,0.322952515167301,0.294039708208015,0.272073908915704,0.0301307748268766,0.0198702392324312,0.0159869124551087,0.0420169355179092,0.0434212351319667,0.0465320563837904,0.388732174425733,0.395636273568674,0.434692162930614,0.038873023693603,0.0440023589193857,0.0582868465387803,0.0705757538110122,0.0738228320265277,0.108555782277022,0.0874545551598757,0.119425828691106,0.0827554125446577,0.0854296045717254,0.0854394554752772
"10CC.1",0.225780513407059,0.223661169778853,0.225108124138096,0.329068042668664,0.34208498362145,0.322952515167301,0,0.0729210059357876,0.0769130099960214,0.349538986888527,0.334166491151608,0.324158990895195,0.313499654404979,0.303671561337894,0.300896693768496,0.210231955756659,0.270578380441485,0.240620229762428,0.317090464540277,0.306133492063791,0.303619755766677,0.382167215406814,0.385509634801767,0.248624206365159,0.278576857346831,0.249316866350228,0.358712864644047,0.360069585891618,0.369071041192975
"10CC.2",0.248466434742796,0.246411384596405,0.247825935984624,0.300725049972498,0.312969571849463,0.294039708208015,0.0729210059357876,0,0.051079196628908,0.318395591179234,0.305862075170837,0.295836689900396,0.286630479416834,0.277079396693977,0.275531304602989,0.273958577600834,0.309648847186396,0.277704092747457,0.290293516926231,0.279182288504871,0.276751984520594,0.351510032560977,0.354721404169622,0.220932302516114,0.251717679840481,0.222119933476929,0.326777206588831,0.327595967361633,0.337239262658481
"10CC.3",0.21191040379376,0.209817404391065,0.2112393398585,0.278350704596737,0.290722794962361,0.272073908915704,0.0769130099960214,0.051079196628908,0,0.298021128782124,0.283809920311111,0.273660229473451,0.263898348971076,0.254093153723834,0.250746084756178,0.248853206784041,0.279785057984284,0.247075653432332,0.267250431156204,0.255569931968129,0.253465227319561,0.331588500140989,0.33481254176019,0.196323998518091,0.227626936893549,0.19762397656072,0.307961649581725,0.309128757448422,0.318005032753024
"10CV.1",0.261048693169883,0.266556017973477,0.2667585709404,0.0262153021937953,0.0108564524324537,0.0301307748268766,0.349538986888527,0.318395591179234,0.298021128782124,0,0.0215984824339671,0.030156391674732,0.0565306718075537,0.0615751714431601,0.068830702612604,0.415620778432331,0.422169328217638,0.460132628025654,0.0538762575076935,0.067232685265285,0.0830784069005294,0.0525733594774545,0.0548367636835386,0.13351555566408,0.111696466683839,0.145014285046445,0.0740415398255876,0.0722944611509315,0.0725262333995309
