"","MC.50.1","MC.50.2","MC.50.3","MC.50.control.1","MC.dead.1","MC.dead.2","MC.dead.3","MC.dead.control.1","MC.live.1","Mc.live.2","MC.live.3","MC.live.control.1","Theo2.1","Theo2.2","Theo2.3"
"MC.50.1",0,0.202065098489968,0.135105298990884,0.325268540494274,0.25020391714488,0.287723788455714,0.405705294849529,0.319219597978716,0.0922600080702935,0.0775682955847278,0.231319400770411,0.32603513516875,0.248981066966893,0.250781073705779,0.250980841561546
"MC.50.2",0.202065098489968,0,0.0957490259882307,0.491496004655892,0.0946444520801394,0.119375150930154,0.303675466410606,0.484523467254674,0.207345952144349,0.203263430241279,0.369234463986547,0.493436384687299,0.421855375116082,0.417650867436195,0.420001710707936
"MC.50.3",0.135105298990884,0.0957490259882307,0,0.428003903182614,0.148271305062344,0.177378359868345,0.343640451560168,0.421635482328339,0.150678067919221,0.143297110630081,0.29883143889526,0.428097651936557,0.357549122777474,0.356085500045265,0.357419856460897
"MC.50.control.1",0.325268540494274,0.491496004655892,0.428003903182614,0,0.508791566475357,0.56401922772398,0.66119633143799,0.024857422304977,0.360922833393654,0.296484555679608,0.208164440719534,0.0162233820879308,0.145431896124786,0.150477334493987,0.148636747267908
"MC.dead.1",0.25020391714488,0.0946444520801394,0.148271305062344,0.508791566475357,0,0.0948228462740645,0.290226059814451,0.502575021295813,0.254720751459888,0.244961091315089,0.416679013641377,0.509957190216108,0.461451407450534,0.457595774269522,0.459997784554349
"MC.dead.2",0.287723788455714,0.119375150930154,0.177378359868345,0.56401922772398,0.0948228462740645,0,0.28612556663918,0.557946146841339,0.290591785122763,0.286856896610771,0.434851731088473,0.565006924766163,0.518430865397836,0.514643580411521,0.517028268748459
"MC.dead.3",0.405705294849529,0.303675466410606,0.343640451560168,0.66119633143799,0.290226059814451,0.28612556663918,0,0.654246276170569,0.408902221116939,0.398397755989743,0.54541527315017,0.664503888869325,0.616928874909612,0.61318765383118,0.615588318172307
"MC.dead.control.1",0.319219597978716,0.484523467254674,0.421635482328339,0.024857422304977,0.502575021295813,0.557946146841339,0.654246276170569,0,0.355784580256287,0.291669373936435,0.203083087447578,0.0314463605756712,0.143262311136693,0.147348378981128,0.145917030736634
"MC.live.1",0.0922600080702935,0.207345952144349,0.150678067919221,0.360922833393654,0.254720751459888,0.290591785122763,0.408902221116939,0.355784580256287,0,0.118420765591399,0.283475254798448,0.360983195993671,0.294328565539681,0.296629694479905,0.294831823598106
"Mc.live.2",0.0775682955847278,0.203263430241279,0.143297110630081,0.296484555679608,0.244961091315089,0.286856896610771,0.398397755989743,0.291669373936435,0.118420765591399,0,0.19410806733207,0.296610472745975,0.266394027422795,0.265846327417338,0.266293472306429
"MC.live.3",0.231319400770411,0.369234463986547,0.29883143889526,0.208164440719534,0.416679013641377,0.434851731088473,0.54541527315017,0.203083087447578,0.283475254798448,0.19410806733207,0,0.207064057194512,0.233959891870534,0.234676827523772,0.238345684355874
"MC.live.control.1",0.32603513516875,0.493436384687299,0.428097651936557,0.0162233820879308,0.509957190216108,0.565006924766163,0.664503888869325,0.0314463605756712,0.360983195993671,0.296610472745975,0.207064057194512,0,0.15070926904282,0.155756523833588,0.153916222702645
"Theo2.1",0.248981066966893,0.421855375116082,0.357549122777474,0.145431896124786,0.461451407450534,0.518430865397836,0.616928874909612,0.143262311136693,0.294328565539681,0.266394027422795,0.233959891870534,0.15070926904282,0,0.00972009411122263,0.00832885527757135
"Theo2.2",0.250781073705779,0.417650867436195,0.356085500045265,0.150477334493987,0.457595774269522,0.514643580411521,0.61318765383118,0.147348378981128,0.296629694479905,0.265846327417338,0.234676827523772,0.155756523833588,0.00972009411122263,0,0.00700158959553463
"Theo2.3",0.250980841561546,0.420001710707936,0.357419856460897,0.148636747267908,0.459997784554349,0.517028268748459,0.615588318172307,0.145917030736634,0.294831823598106,0.266293472306429,0.238345684355874,0.153916222702645,0.00832885527757135,0.00700158959553463,0
