"","MC.10ml.UHT.1","MC.10ml.UHT.2","MC.10ml.UHT.3","MC.1ml.UHT.1","MC.1ml.UHT.2","MC.1ml.UHT.3","MC.30ml.UHT.1","MC.30ml.UHT.2","MC.30ml.UHT.3","Theo2.1","Theo2.2","Theo2.3","10TB.1","10TB.2","10TB.3","200TB.1","200TB.2","200TB.3"
"MC.10ml.UHT.1",0,0.0258998938061104,0.0352107887472886,0.0811688971812115,0.125828384458148,0.0637478049498068,0.0361273367781654,0.0418203118709097,0.0282522129335538,0.2204367787552,0.223284900291744,0.225611004965187,0.0338259013015799,0.0348026169950578,0.0429890706128329,0.113416013401176,0.253635688727108,0.192579029268107
"MC.10ml.UHT.2",0.0258998938061104,0,0.0194987268040714,0.0748929439117305,0.125696023067044,0.0605564265690074,0.0171508653862162,0.0263224050606811,0.0320445401590956,0.203868504874482,0.209376343646752,0.209598648059408,0.0298096752952599,0.0249924773556501,0.0330289990936712,0.104009396581192,0.243632905532517,0.181956119948621
"MC.10ml.UHT.3",0.0352107887472886,0.0194987268040714,0,0.0636254218421139,0.116982772000483,0.0559178025967136,0.024272038475146,0.0321755205367756,0.0485285338385434,0.192598039841583,0.197974287642412,0.198350397757217,0.0377609961940571,0.0273061502468972,0.034329119817479,0.0942143304020996,0.237615216278313,0.174114054591679
"MC.1ml.UHT.1",0.0811688971812115,0.0748929439117305,0.0636254218421139,0,0.096076699597314,0.0306241752774846,0.0770346633820086,0.0842339000524142,0.103349357761811,0.197582316201989,0.200506872225277,0.202806438828091,0.0946254889217029,0.083725318407214,0.0902081514235726,0.104325113307019,0.229680962833982,0.169293775502407
"MC.1ml.UHT.2",0.125828384458148,0.125696023067044,0.116982772000483,0.096076699597314,0,0.0999448741835882,0.118884551239247,0.136481915871185,0.151346870551264,0.194618218671548,0.195371097340921,0.197457583290926,0.142759997924197,0.130256263433362,0.13451128319287,0.120139766133797,0.228160744165413,0.209793359650044
"MC.1ml.UHT.3",0.0637478049498068,0.0605564265690074,0.0559178025967136,0.0306241752774846,0.0999448741835882,0,0.0711628172815407,0.0675857297648226,0.0863169377842165,0.22338326156415,0.226308100295167,0.228583641330839,0.0703688284362818,0.0619657281521214,0.072135046871573,0.107101555216181,0.243591474944861,0.178791126000388
"MC.30ml.UHT.1",0.0361273367781654,0.0171508653862162,0.024272038475146,0.0770346633820086,0.118884551239247,0.0711628172815407,0,0.0349514390656404,0.0401639175850552,0.189676812235024,0.195022485493651,0.195397192183999,0.0436259262514819,0.0358442930062086,0.0406922315977166,0.101097500344192,0.242351175046706,0.187676051254188
"MC.30ml.UHT.2",0.0418203118709097,0.0263224050606811,0.0321755205367756,0.0842339000524142,0.136481915871185,0.0675857297648226,0.0349514390656404,0,0.0375046376838607,0.200221107145594,0.205769472904325,0.205986762771275,0.0413667458238773,0.0418866409173282,0.0522096607972534,0.112574096812587,0.252862699908903,0.185794301537588
"MC.30ml.UHT.3",0.0282522129335538,0.0320445401590956,0.0485285338385434,0.103349357761811,0.151346870551264,0.0863169377842165,0.0401639175850552,0.0375046376838607,0,0.228636451261874,0.234131040976982,0.234340077189591,0.0426377958922513,0.0464511397474896,0.0535223625211816,0.127614025156289,0.265596951411141,0.201650223327403
"Theo2.1",0.2204367787552,0.203868504874482,0.192598039841583,0.197582316201989,0.194618218671548,0.22338326156415,0.189676812235024,0.200221107145594,0.228636451261874,0,0.00972009411122263,0.00832885527757135,0.224189439108613,0.213556780894843,0.217859375664375,0.193293086906934,0.198568819944448,0.199414667622807
"Theo2.2",0.223284900291744,0.209376343646752,0.197974287642412,0.200506872225277,0.195371097340921,0.226308100295167,0.195022485493651,0.205769472904325,0.234131040976982,0.00972009411122263,0,0.00700158959553463,0.229722951986087,0.219156636660094,0.223238426301276,0.198739575301624,0.20474137072816,0.20555750159922
"Theo2.3",0.225611004965187,0.209598648059408,0.198350397757217,0.202806438828091,0.197457583290926,0.228583641330839,0.195397192183999,0.205986762771275,0.234340077189591,0.00832885527757135,0.00700158959553463,0,0.229934428124884,0.219394722849679,0.223631704367219,0.199140113173975,0.203544661202332,0.204882087623233
"10TB.1",0.0338259013015799,0.0298096752952599,0.0377609961940571,0.0946254889217029,0.142759997924197,0.0703688284362818,0.0436259262514819,0.0413667458238773,0.0426377958922513,0.224189439108613,0.229722951986087,0.229934428124884,0,0.0196020275203586,0.0318908395802706,0.102046401177146,0.234838479425755,0.169501602074032
"10TB.2",0.0348026169950578,0.0249924773556501,0.0273061502468972,0.083725318407214,0.130256263433362,0.0619657281521214,0.0358442930062086,0.0418866409173282,0.0464511397474896,0.213556780894843,0.219156636660094,0.219394722849679,0.0196020275203586,0,0.0163950127569293,0.0924460071333613,0.2318892148305,0.165771292935901
"10TB.3",0.0429890706128329,0.0330289990936712,0.034329119817479,0.0902081514235726,0.13451128319287,0.072135046871573,0.0406922315977166,0.0522096607972534,0.0535223625211816,0.217859375664375,0.223238426301276,0.223631704367219,0.0318908395802706,0.0163950127569293,0,0.0873669168449648,0.221223525945517,0.163705396208092
"200TB.1",0.113416013401176,0.104009396581192,0.0942143304020996,0.104325113307019,0.120139766133797,0.107101555216181,0.101097500344192,0.112574096812587,0.127614025156289,0.193293086906934,0.198739575301624,0.199140113173975,0.102046401177146,0.0924460071333613,0.0873669168449648,0,0.153469729987566,0.107213258655137
"200TB.2",0.253635688727108,0.243632905532517,0.237615216278313,0.229680962833982,0.228160744165413,0.243591474944861,0.242351175046706,0.252862699908903,0.265596951411141,0.198568819944448,0.20474137072816,0.203544661202332,0.234838479425755,0.2318892148305,0.221223525945517,0.153469729987566,0,0.0805394372424961
"200TB.3",0.192579029268107,0.181956119948621,0.174114054591679,0.169293775502407,0.209793359650044,0.178791126000388,0.187676051254188,0.185794301537588,0.201650223327403,0.199414667622807,0.20555750159922,0.204882087623233,0.169501602074032,0.165771292935901,0.163705396208092,0.107213258655137,0.0805394372424961,0
