"","Theo2.1","Theo2.2","Theo2.3","M4R1","M4R2","M4R3","M4W1","M4W2","M4W3","ML4R1","ML4R2","ML4R3","ML4W1","ML4W2","ML4W3","MLVR1","MLVR2","MLVR3","MLVW1","MLVW2","MLVW3","MVR1","MVR2","MVR3","MVW1","MVW2","MVW3","P4R1","P4R2","P4R3","P4W1","P4W2","P4W3","PL4R1","PL4R2","PL4R3","PL4W1","PL4W2","PL4W3","PLVR1","PLVR2","PLVR3","PLVW1","PLVW2","PLVW3","PVR1","PVR2","PVR3","PVW1","PVW2","PVW3"
"Theo2.1",0,0.00972009411122263,0.00832885527757135,0.138964240721743,0.164327161502149,0.176067644042736,0.106345254492584,0.0999260548362086,0.115473024464478,0.132990441420212,0.111738972086811,0.0803593775347666,0.116356560290997,0.0925970254760049,0.103945164329882,0.227468093258044,0.229883916039922,0.208512422196075,0.205649788581663,0.223827472841308,0.152243332228888,0.138154916490755,0.0881490670894416,0.137076338019679,0.183279652873215,0.0620012455662905,0.129741681714408,0.0898615262024795,0.100706022018972,0.0994528907915581,0.0498445830370277,0.045693323248187,0.0645465482430212,0.0530120941203661,0.0835391217413308,0.078501092510147,0.0560185301729738,0.0545981834190253,0.0828435451277034,0.138974443756193,0.158031824512318,0.14399286138619,0.14659960163094,0.178164460829863,0.139303458083183,0.106591292555675,0.0887767943766191,0.056927747515828,0.0668164473122912,0.0519247709098826,0.0576675349383622
"Theo2.2",0.00972009411122263,0,0.00700158959553463,0.144025685853857,0.170019886894331,0.181735844153548,0.112040914311379,0.108453201870266,0.12392999459835,0.138515247883059,0.117401793293323,0.0889391217202678,0.124853220638098,0.101161191668712,0.112445430931158,0.224052676576146,0.232351077421736,0.210920613920059,0.20795678824791,0.226297977758057,0.154381379350143,0.137775229193945,0.0913724740699158,0.138549120035505,0.185666588191052,0.0680831724431258,0.132042899818922,0.0949830169077536,0.106425441148422,0.104616666769402,0.0593795972762211,0.0528490176093969,0.069820957793777,0.0594544348362635,0.0886687498255998,0.0834749403949927,0.0624454150114871,0.0640986270974551,0.0884433008233635,0.139762689774498,0.160373518669193,0.144909954697254,0.147390911290464,0.179000315601957,0.140083908671129,0.112285673339789,0.094523901098903,0.064830366477631,0.0761422658989854,0.0577412037444167,0.0630355515909297
"Theo2.3",0.00832885527757135,0.00700158959553463,0,0.14270837639277,0.170227762529721,0.181430914628747,0.112285493297922,0.107970070075176,0.123448825451857,0.138750817331274,0.117105721620014,0.0879111432446693,0.124369670773779,0.100676925554977,0.111963299797709,0.22335473165298,0.229335142539547,0.207952209895077,0.205046697437626,0.223270867747117,0.151597541938503,0.13612213752756,0.088633334130137,0.136784516301326,0.182695027955943,0.062292304028805,0.129115737556567,0.0936462760852372,0.106672358771809,0.103269636598167,0.0577738506287603,0.0479504749353825,0.0643191815763104,0.0546609328689866,0.0867859758753952,0.0771001297768684,0.0576651735872706,0.0623730334644946,0.0837491401690869,0.136230979992821,0.15742877551849,0.141954838236823,0.143894307282093,0.17545607494597,0.136601323900422,0.112530140242448,0.0947748298186819,0.0607010524216857,0.0749957868892804,0.0512886003206376,0.0565576067305158
"M4R1",0.138964240721743,0.144025685853857,0.14270837639277,0,0.0548454861101643,0.0578773209331999,0.110938752114265,0.116527511771755,0.124625821995734,0.0945725622148492,0.0896284755284037,0.0964841544873005,0.124133822964056,0.105757221542218,0.117134105541909,0.298982696437777,0.315724333555797,0.248072754498021,0.301639580099449,0.320078470220625,0.248365157286032,0.17414059192131,0.106516109951448,0.16217425782997,0.279537235398397,0.156453134799008,0.23268800145113,0.0788324504134285,0.0665888476538035,0.0717206751668106,0.100228094617236,0.115029943880529,0.154067388984753,0.128554379673885,0.07214290018284,0.18242093374511,0.124238252843001,0.113324778249811,0.179268510104449,0.17616997334379,0.255684171406153,0.166715232157851,0.253203129666046,0.285404922214352,0.246235267983219,0.0776896073244818,0.0795174818174965,0.127104936886533,0.113748886297532,0.138047282788095,0.145277000268811
"M4R2",0.164327161502149,0.170019886894331,0.170227762529721,0.0548454861101643,0,0.0280021799369365,0.150542943653135,0.15105216965997,0.15652381443554,0.139287229014982,0.133359045447993,0.135184988360235,0.153577781755329,0.145193713094703,0.149353203363054,0.324577939523848,0.347558059503395,0.27725984768745,0.331780376942648,0.353136725479857,0.279561890739564,0.202190007238732,0.132837808788969,0.187266219529961,0.311038880874791,0.188810210861721,0.265507666447321,0.111967479005282,0.0843588063723363,0.0975462400934412,0.142604534811592,0.154906971622496,0.186746619069765,0.162100510559672,0.102880922154343,0.214874371204568,0.160555976049825,0.145727864299083,0.203747890796437,0.20348290010868,0.28726943789659,0.190534159733819,0.285966210957364,0.318305300571381,0.278935520652153,0.106770961306726,0.100428979169864,0.154948903879463,0.144957363033003,0.174535573731247,0.178327833565874
"M4R3",0.176067644042736,0.181735844153548,0.181430914628747,0.0578773209331999,0.0280021799369365,0,0.14367882387415,0.144164369659395,0.150371055899077,0.133788201198046,0.127664535739237,0.129314205818576,0.150272841564986,0.138472436992861,0.142350072947362,0.334419029324713,0.356820811847372,0.287093506451022,0.342503118470872,0.361383736049327,0.289176616882851,0.213460771994822,0.142714090859207,0.199455738695632,0.321214899568787,0.198178661522672,0.274136248018964,0.111553150063654,0.0882036830221917,0.107187603984478,0.143284713115383,0.156629477540169,0.193443990292235,0.164345143893976,0.106315129559825,0.223360362697896,0.161095852280109,0.144042813389366,0.212392669722943,0.212137142407854,0.295514579681933,0.201595665913658,0.294190240644633,0.326680874481722,0.287178193751908,0.102354006350047,0.106120940266404,0.158162195018495,0.140275421759365,0.179264418628601,0.186544574496564
"M4W1",0.106345254492584,0.112040914311379,0.112285493297922,0.110938752114265,0.150542943653135,0.14367882387415,0,0.019394159675805,0.0234252011059685,0.051442970628115,0.0405881491695279,0.0567367760811212,0.0190802614028189,0.0288451045670847,0.0264630933581655,0.317933471812019,0.298018825684154,0.271856263456806,0.272330452343361,0.281469413238131,0.21642811140278,0.199122269042206,0.143827117309062,0.210202838999008,0.246251742226999,0.123134199657802,0.196176676494739,0.0734343637887073,0.0794070304086157,0.117418233030766,0.0619726525994745,0.077406975429303,0.119120722361294,0.0918290342418087,0.0805828095649111,0.148021649021082,0.0843422181555044,0.0681681060126701,0.135327187761611,0.212441574654576,0.226877992716205,0.219530125335636,0.216864621870966,0.24893296736625,0.211631336623099,0.0517184126697157,0.0894992605366252,0.0833340132121781,0.0527803050350831,0.104225255386245,0.11018006337065
"M4W2",0.0999260548362086,0.108453201870266,0.107970070075176,0.116527511771755,0.15105216965997,0.144164369659395,0.019394159675805,0,0.0201258574461202,0.0641658272815403,0.0450142615386396,0.0466007203986259,0.0195942915830012,0.0213776292924202,0.00863541110368896,0.305722406534085,0.285625467206969,0.259931697609505,0.26353425435111,0.274517872272156,0.208410461916568,0.201794521466093,0.14031339798754,0.199532402233193,0.23724807008616,0.114086978499707,0.188144384142817,0.0785318778009966,0.0808881581880888,0.124381204073806,0.0540707972413074,0.0679209910393025,0.108710807894875,0.0815443013984128,0.0826601836017107,0.137765962238191,0.0740954594082432,0.0576820584967761,0.125783011721262,0.200744353919184,0.217304235156682,0.209101226277324,0.207463564037391,0.238945953227658,0.201783556119532,0.0549223126237463,0.0957261225777789,0.0732602874610065,0.0441052517321183,0.0945073190862176,0.104628580646614
"M4W3",0.115473024464478,0.12392999459835,0.123448825451857,0.124625821995734,0.15652381443554,0.150371055899077,0.0234252011059685,0.0201258574461202,0,0.0521851509965681,0.0508530340280519,0.0644314691333203,0.0129414176132939,0.0359344753175743,0.0214450975707665,0.322281808478437,0.303467388214765,0.276767096540275,0.280416656967584,0.293008949456193,0.226146131906271,0.210053080903301,0.152179456079803,0.217671596353531,0.255094694855257,0.132332725877238,0.206507582682357,0.0897604561830586,0.0935220447927584,0.135955035476321,0.0716350452720964,0.0867714659649061,0.127460463327006,0.100354780262784,0.0942556074154804,0.156695833330323,0.0929227027560901,0.0763227660017732,0.144710916274164,0.218951054414375,0.235892624913897,0.227185747521642,0.225983994985267,0.257161404159132,0.220034095331293,0.0670736663457965,0.107797721656696,0.0926786707880345,0.0635731027432943,0.112930947344721,0.121438990591508
"ML4R1",0.132990441420212,0.138515247883059,0.138750817331274,0.0945725622148492,0.139287229014982,0.133788201198046,0.051442970628115,0.0641658272815403,0.0521851509965681,0,0.0331496900509865,0.0822494799514578,0.0520889357461992,0.0636174190314116,0.0588233398798637,0.326141233175646,0.320245037404382,0.289776298534473,0.303885510981646,0.322505658631493,0.253660761528758,0.196649064196541,0.149404060659136,0.216490932875707,0.280560045096188,0.160315676216775,0.237659838431141,0.0730025609772298,0.0980918456872165,0.113173675011955,0.100799448844605,0.118174284336164,0.156368751055291,0.129521246509924,0.0923551533207014,0.1861327219508,0.12512182010477,0.110708296792678,0.180362935886026,0.230088235612003,0.258115402959432,0.232886742332567,0.256364036267995,0.288632547417905,0.249330712286761,0.0711661310865447,0.0905417429321397,0.128180627757736,0.104108879378982,0.141671235058118,0.149201819822886
