"","1.1","1.2","1.3","Blank.30ml.UHT.1","10CC.NC","10CV.NC","10TV.NC","10UC.NC","10UV.NC","1CC.NC"
"1.1",0,0.112450412461441,0.0942506278649383,0.435063468985632,0.581490988101187,0.572318933118852,0.432593049890179,0.499387099888173,0.555854712050851,0.682596158113016
"1.2",0.112450412461441,0,0.0732402852223819,0.516734307927799,0.607215753051339,0.605522400233856,0.495821635645119,0.552386992728415,0.517233177892351,0.682471877213476
"1.3",0.0942506278649383,0.0732402852223819,0,0.486663001327173,0.598955310242073,0.607365610079363,0.484763476305269,0.544987481406795,0.513236669624005,0.682133501544933
"Blank.30ml.UHT.1",0.435063468985632,0.516734307927799,0.486663001327173,0,0.600947306250006,0.561891091577778,0.231101141430394,0.478201099749765,0.681361201169432,0.681588200654085
"10CC.NC",0.581490988101187,0.607215753051339,0.598955310242073,0.600947306250006,0,0.178463478349737,0.505764045951931,0.188400201715152,0.691703744105748,0.151418234501495
"10CV.NC",0.572318933118852,0.605522400233856,0.607365610079363,0.561891091577778,0.178463478349737,0,0.432404603373722,0.182186110994171,0.681041611432569,0.278344129298726
"10TV.NC",0.432593049890179,0.495821635645119,0.484763476305269,0.231101141430394,0.505764045951931,0.432404603373722,0,0.395269672188069,0.632543269361505,0.601182180741953
"10UC.NC",0.499387099888173,0.552386992728415,0.544987481406795,0.478201099749765,0.188400201715152,0.182186110994171,0.395269672188069,0,0.64871004052556,0.309814587337322
"10UV.NC",0.555854712050851,0.517233177892351,0.513236669624005,0.681361201169432,0.691703744105748,0.681041611432569,0.632543269361505,0.64871004052556,0,0.708040275648208
"1CC.NC",0.682596158113016,0.682471877213476,0.682133501544933,0.681588200654085,0.151418234501495,0.278344129298726,0.601182180741953,0.309814587337322,0.708040275648208,0
